,Site,Functional_gene_diversity,Water_content,MAT,pH,C.N,,,
Y001,Iceland_fen_1,1.173644748,0.92,3.6,NA,18.33333333,,,
Y002,Iceland_fen_1,0.974945304,0.92,3.6,NA,19.36153846,,,
Y003,Iceland_fen_1,1.034220358,0.9,3.6,NA,17.36082474,,,
Y004,Iceland_fen_1,1.155891679,0.85,3.6,NA,15.18181818,,,
Y005,Iceland_drained_fen_2,1.128504102,0.8,4.4,NA,12.26923077,,,
Y006,Iceland_drained_fen_2,0.969702116,0.8,4.4,NA,12.33333333,,,
Y007,Iceland_drained_fen_2,0.942276714,0.8,4.4,NA,14.85483871,,,
Y008,Iceland_drained_fen_2,1.263805951,0.8,4.4,NA,15.17647059,,,
Y009,Iceland_drained_fen,0.972679118,0.6,4.5,4.02,14.27868852,,,
Y010,Iceland_drained_fen,1.456484227,0.79,4.5,3.99,19.92727273,,,
Y011,Iceland_drained_fen,1.503926111,0.78,4.5,3.95,15.01030928,,,
Y012,Iceland_drained_fen,1.448762776,1.06,4.5,3.89,15.02020202,,,
Y013,Iceland_drained_fen,1.142623835,0.96,4.5,3.88,16.73780488,,,
Y014,Iceland_drained_fen,1.536541059,0.6,4.5,4.15,19.04166667,,,
Y015,Iceland_drained_fen,1.147767264,0.62,4.5,3.88,15.54585153,,,
Y016,Iceland_drained_fen,0.852069921,1,4.5,3.98,15.17171717,,,
Y017,Romania_bog_1,1.277316227,0.85,5.9,2.58,45.72222222,,,
Y018,Romania_bog_1,0.582486429,0.84,5.9,2.6,40.52727273,,,
Y019,Romania_bog_1,0.474284384,1.03,5.9,2.46,40.48598131,,,
Y020,Romania_bog_forest_1,0.961987603,1,5.9,3.7,17.87657658,,,
Y021,Romania_bog_forest_1,0.827252264,0.95,5.9,3.02,24.23076923,,,
Y022,Romania_bog_forest_1,1.024250954,0.92,5.9,4,18.68073394,,,
Y023,Brazil_drained_floodplain,1.338873769,0.8,21.3,6.316666667,10.55840456,,,
Y024,Brazil_drained_floodplain,1.341864512,0.67875,21.3,5.255,10.93238434,,,
Y025,Brazil_drained_floodplain,1.38752858,0.88,21.3,6.135,11.02985075,,,
Y026,Brazil_floodplain,1.351511039,0.88882,21.3,6.163333333,10.94078947,,,
Y027,Brazil_floodplain,1.440075553,0.92942,21.3,6.28,11.17941176,,,
Y028,Brazil_floodplain,1.375680725,0.901166667,21.3,6.51,10.88888889,,,
Y032,Quebec_drained_bog,1.531141976,0.503333333,7.6,5.35,22.45614035,,,
Y033,Quebec_drained_bog,1.378856817,0.64,7.6,5,22.63691684,,,
Y034,Quebec_drained_bog,1.401127984,0.586666667,7.6,4.68,21.50406504,,,
Y035,Bashkortostan_drained_floodplain_1,1.430467496,0.143333333,4.3,4.346666667,14.77403035,,,
Y036,Bashkortostan_drained_floodplain_1,1.546287986,0.2213,4.3,4.753333333,11.15245478,,,
Y037,Bashkortostan_drained_floodplain_1,1.458989137,0.261,4.3,4.27,NA,,,
Y038,Bashkortostan_fen,1.248437107,0.906666667,4.1,6.203333333,15.87015945,,,
Y039,Bashkortostan_fen,1.308242452,1.06,4.1,6.043333333,15.90639269,,,
Y040,Bashkortostan_fen,1.164155522,0.823333333,4.1,6.18,20.97459165,,,
Y041,Bashkortostan_drained_floodplain_2,0.940730374,0.363333333,4.3,3.843333333,11.49765258,,,
Y042,Bashkortostan_drained_floodplain_2,0.968114231,0.37,4.3,3.743333333,11.49765258,,,
Y043,Bashkortostan_drained_floodplain_2,0.979871223,0.52,4.3,3.876666667,11.49765258,,,
Y044,Bashkortostan_drained_fen,1.378851319,0.31,4.2,6.38,13.84158416,,,
Y045,Bashkortostan_drained_fen,1.394847188,0.391433333,4.2,7.13,11.7601626,,,
Y046,Estonia_drained_floodplain,1.465331731,0.706666667,5.7,6.72,10.93372781,,,
Y047,Estonia_drained_floodplain,1.41973139,0.656666667,5.7,7.2,12.4,,,
Y048,Estonia_drained_floodplain,1.403240926,0.693333333,5.7,5.433333333,10.71851041,,,
Y049,Florida_swamp_forest_1,1.31938981,0.47,23.3,5.333333333,17.125,,,
Y050,Florida_swamp_forest_1,1.387428893,0.553066667,23.3,5.74,8.671875,,,
Y051,Florida_swamp_forest_1,1.339534632,0.593333333,23.3,5.346666667,17.27272727,,,
Y052,Florida_swamp_forest_1,1.522330111,0.886666667,23.3,5.193333333,17.89297659,,,
Y053,France_transitional_bog_1,1.128447232,0.916666667,11.6,3.426666667,22.8,,,
Y054,France_transitional_bog_1,0.821346623,0.78,11.6,3.026666667,26.66666667,,,
Y055,Uganda_drained_fen_1,1.554458015,0.623333333,18,4.036666667,12.98175542,,,
Y056,Uganda_drained_fen_2,1.503836468,0.68,18,3.806666667,12.67385787,,,
Y057,Uganda_drained_fen_2,1.35735042,0.556666667,18,3.963333333,12.6,,,
Y058,Uganda_fen,1.341956396,0.666666667,18.3,4.216666667,15.52304147,,,
Y059,Uganda_fen,1.401164,0.843333333,18.3,3.63,10.66826923,,,
Y060,Uganda_drained_fen_1,1.528753224,0.663333333,18.3,5.126666667,15.11504812,,,
Y061,Uganda_drained_fen_2,1.451334793,0.726666667,17.8,5.52,11.30679406,,,
Y062,Uganda_drained_fen_2,1.621729764,0.716666667,17.8,4.966666667,15.74550129,,,
Y063,Siberia_bog_forest,1.278939352,0.933333333,-0.6,2.613333333,83.40993789,,,
Y064,Siberia_bog_forest,0.005651315,0.853333333,-0.6,2.523333333,72.62777778,,,
Y065,Siberia_bog,0.474842286,0.946666667,-0.6,2.586666667,58.9086758,,,
Y066,Siberia_bog,0.313801004,0.806666667,-0.6,2.886666667,66.11282051,,,
Y067,Siberia_bog_forest,0.33393894,0.896666667,-0.6,2.703333333,67.25728155,,,
Y068,Siberia_bog,0.454732304,0.863333333,-0.6,2.696666667,76.68292683,,,
Y069,Siberia_bog_forest,1.174655362,0.943333333,-0.6,2.5,74.15083799,,,
Y070,Siberia_fen,1.303633367,0.893333333,-0.6,4.086666667,12.81946625,,,
Y071,Siberia_fen,1.174037022,0.976666667,-0.6,4.06,11.08333333,,,
Y072,France_transitional_bog_2,1.240894488,0.96,11.6,3.066666667,23.48098859,,,
Y073,France_transitional_bog_2,1.275820386,0.826666667,11.6,3.59,18.28849558,,,
Y074,Estonia_floodplain,1.549092053,0.603333333,5.7,5.12,21.59136691,,,
Y075,Estonia_floodplain,1.553526831,0.583333333,5.7,5.05,20.87117347,,,
Y076,Estonia_floodplain,0,1.033333333,5.7,5.37,23.10589651,,,
Y077,Florida_swamp_forest_2,1.125537765,0.511266667,23.3,5.223333333,16.57894737,,,
Y078,Florida_swamp_forest_2,1.436806855,0.4949,23.3,5.906666667,10.92258065,,,
Y079,Florida_swamp_forest_2,0.886813447,0.823333333,23.3,5.336666667,17.13011696,,,
Y080,Florida_swamp_forest_2,0.984469072,1.05,23.3,5.24,17.52959029,,,
Y081,Tasmania_blanket_bog,0.374766295,0.94,10.2,2.82,33.02030457,,,
Y082,Tasmania_blanket_bog,0.771783141,0.659942133,10.2,2.87,36.86060606,,,
Y083,Tasmania_blanket_bog,1.456242154,0.923333333,10.2,2.893333333,32.04899135,,,
Y084,Tasmania_drained_fen_1,1.325467603,0.166666667,13.2,4.166666667,10.94395797,,,
Y085,Tasmania_drained_fen_2,1.248231812,0.22,13.1,5.765,11.51953125,,,
Y086,Tasmania_fen,1.507586262,0.930377467,13.1,5.38,15.36756757,,,
Y087,Tasmania_raised_bog,0.713499765,0.92,8.4,2.9,24.63297872,,,
Y088,Tasmania_raised_bog,0.787502801,0.266666667,8.4,3.01,18.37719298,,,
Y089,Tasmania_raised_bog,1.401645607,0.83,8,4.413333333,19.13226453,,,
Y090,New_Zealand_drained_fen_1,1.564421242,0.24,15.2,4.236666667,16.5480427,,,
Y091,New_Zealand_fen_1,0.292563017,0.796666667,15.2,3.61,53.37398374,,,
Y092,New_Zealand_fen_2,1.165225363,0.813333333,10.7,4.8,22.27272727,,,
Y093,New_Zealand_fen_2,1.146296462,0.796666667,10.7,3.703333333,21.11111111,,,
Y094,Romania_bog_forest_2,0.750918475,0.606666667,5.9,3.37,18.48994214,,,
Y095,Romania_bog_2,0.833311182,0.86,5.9,2.566666667,42.36123774,,,
Y096,Romania_bog_2,0.334993815,0.836666667,5.9,2.586666667,47.28911329,,,
Y097,Romania_bog_2,0.373769223,0.666666667,5.9,2.51,42.3079949,,,
Y098,Romania_bog_forest_2,0.567533454,0.973333333,5.9,2.596666667,31.14891589,,,
Y099,Romania_bog_forest_2,0.85907204,0.74,5.9,2.696666667,22.69146333,,,
Y100,California_fen,1.469726035,0.423333333,16.7,5.356666667,14.06907541,,,
Y101,California_drained_fen,1.549541817,0.962606483,16.7,5.736666667,15.99748665,,,
Y102,French_Pyrenees_fen,0.75630183,0.91,6.8,4.646666667,15.74193548,,,
Y103,Catalonia_transitional_bog,0.98891385,0.726666667,5.4,4.706666667,22.16216216,,,
Y104,Catalonia_transitional_bog,1.472373136,0.743333333,5.4,3.563333333,31.65354331,,,
Y105,Catalonia_transitional_bog,1.319387341,0.74,5.4,4.276666667,11.48080439,,,
Y106,Wales_fen,1.08630667,0.823333333,7.9,3.98,23.96020761,,,
Y107,Wales_fen,1.205379642,0.946666667,7.9,3.796666667,23.88323202,,,
Y108,Wales_blanket_bog,0.404585291,0.84,7.6,2.826666667,25.32950192,,,
Y109,Wales_blanket_bog,0.470533196,1.016666667,7.6,3.08,29.05592841,,,
Y110,Wales_drained_bog,0.001551564,0.953333333,7.6,2.806666667,28.83928571,,,
Y111,Wales_drained_bog,0.01326434,0.786666667,7.6,2.866666667,27.70333333,,,
Y112,Tierra_del_Fuego_fen,0.057408718,0.926666667,5.3,4.916666667,15.92640449,,,
Y113,Tierra_del_Fuego_fen,1.266984317,0.756666667,5.3,5.39,14.52696629,,,
Y114,Tierra_del_Fuego_fen,0.796902441,0.876666667,5.3,5.476666667,13.32041885,,,
Y115,Tierra_del_Fuego_fen,0.475766186,0.943333333,5.3,5.5,16.17861482,,,
Y116,Tierra_del_Fuego_fen,0.580047357,0.846666667,5.3,4.97,14.25893186,,,
Y117,Tierra_del_Fuego_bog,1.11482128,0.646666667,5.3,2.816666667,25.63256785,,,
Y118,Tierra_del_Fuego_bog,0.084944676,0.866666667,5.3,2.733333333,53.81012658,,,
Y119,Tierra_del_Fuego_bog,0.023550677,0.98,5.3,3.003333333,61.5879397,,,
Y120,Tierra_del_Fuego_bog,0.609688816,1.04,5.3,3.026666667,52.36403509,,,
Y121,Tierra_del_Fuego_bog,0.505389404,1.04,5.3,3.27,52.48198198,,,
Y122,Mexico_chinampa_1,1.296874951,0.140527,16.7,6.296666667,10.42105263,,,
Y123,Mexico_chinampa_1,1.533016678,0.643333333,16.7,7.486666667,16.89558594,,,
Y124,Mexico_chinampa_2,1.617155492,0.583666933,16.7,7.5,13.77216615,,,
Y125,Mexico_chinampa_2,1.612149759,0.551347867,16.7,7.843333333,12.86895294,,,
Y126,Mexico_chinampa_2,1.58757998,0.727337333,16.7,7.153333333,14.17389831,,,
Y127,Mexico_chinampa_1,1.460612072,0.551435,16.7,7.423333333,15.27306912,,,
Y128,Mexico_fen,1.477338616,0.763333333,16.7,6.58,14.03023256,,,
Y129,Mexico_fen,1.074338162,1.01,16.7,7.26,10.46586345,,,
Y130,Mexico_fen,1.102037246,0.7541674,16.7,7.583333333,8.272727273,,,
Y131,Morocco_bog_1,0.952054204,0.8432629,17.9,4.256666667,21.78205128,,,
Y132,Morocco_bog_2,1.201230221,0.845050267,15.1,3.843333333,14.51265823,,,
Y133,Colombia_paramo,1.111040543,0.993333333,9.5,3.603333333,24.55373406,,,
Y134,Colombia_paramo,1.116246954,0.936666667,9.5,3.363333333,23.84980237,,,
Y135,Colombia_paramo,0.905055108,0.48,9.5,3.4,19.6902834,,,
Y136,Colombia_drained_paramo,1.056131975,0.666666667,11.1,3.98,13.19974227,,,
Y137,Colombia_drained_paramo,1.007189711,0.653333333,11.1,3.93,12.66370107,,,
Y138,Colombia_drained_paramo,1.003843494,0.923333333,11.1,3.913333333,13.54336283,,,
Y139,Pantanal_pasture_1,1.101784642,0.7,26.5,4.583333333,8.80952381,,,
Y140,Pantanal_pasture_1,0.964175965,0.7,26.5,4.18,8.210526316,,,
Y141,Pantanal_pasture_2,1.143297236,0.9,26.5,3.883333333,10,,,
Y142,Pantanal_pasture_2,0.95575652,0.9,26.5,3.97,10.09375,,,
Y143,Pantanal_pasture_3,1.359625707,0.9,26.4,3.966666667,10.94244604,,,
Y144,Pantanal_pasture_3,1.284486454,0.9,26.4,3.516666667,10.47580645,,,
Y145,Pantanal_swamp_forest,1.200210492,0.782539367,26.5,4.063333333,13.44791667,,,
Y146,Pantanal_swamp_forest,1.111575249,0.771342662,26.5,3.861694444,24.40827877,,,
Y146B,Khabarovsk_fen,1.260115535,0.771342662,2.2,3.861694444,24.40827877,,,
Y147,Khabarovsk_drained_fen,0.926542018,0.440633333,2.2,3.78,13.14723926,,,
Y148,Kyrgyzstan_drained_fen,1.06369995,0.65,-1.1,6.983333333,15.11478599,,,
Y149,Kyrgyzstan_drained_fen,0.967849945,0.84,-1.1,7.206666667,16.62533693,,,
Y150,Kyrgyzstan_fen_1,0.75468223,1.016666667,-0.9,6.443333333,30.15,,,
Y151,Kyrgyzstan_fen_1,0.979402274,0.853333333,-0.9,5.41,18.99787686,,,
Y152,Kyrgyzstan_fen_2,1.036930407,0.8,-2.1,5.963333333,15.90657439,,,
Y153,Kyrgyzstan_fen_2,0.765281414,1.043333333,-2.1,6.703333333,34.51863354,,,
Y154,Myanmar_drained_fen_1,1.556346385,0.606666667,22.9,7.34,16.03703704,,,
Y155,Myanmar_drained_fen_1,1.406136945,0.656666667,22.9,6.9,15.07487923,,,
Y156,Myanmar_drained_fen_2,1.434275354,0.996666667,22.9,5.8,13.75221239,,,
Y157,Myanmar_drained_fen_1,1.628384186,0.713333333,22.9,7.276666667,14.57274827,,,
Y158,Myanmar_drained_fen_2,1.556233547,0.893333333,22.9,6.11,15.82911392,,,
Y159,Myanmar_fen,0.763112069,1,22.9,6.856666667,17.02077151,,,
Y160,Myanmar_drained_fen_2,1.571711913,0.67,22.9,7.363333333,14.97497766,,,
Y161,Myanmar_drained_fen_1,1.561602423,0.803333333,22.9,7.446666667,14.94910941,,,
Y162,Myanmar_fen,1.563724605,0.706666667,22.9,6.67,13.00673854,,,
Y163,Borneo_drained_swamp,1.013334981,0.35,27.1,2.143333333,25.922049,,,
Y164,Borneo_drained_swamp,1.023585757,0.46,27.1,2.183333333,30.95833333,,,
Y165,Borneo_swamp_forest,1.025295474,0.693333333,27.1,2.19,28.12663755,,,
Y166,Borneo_swamp_forest,0.876810769,0.753333333,27.1,2.266666667,21.38989899,,,
Y167,Borneo_swamp_forest,0.919073602,0.5,27.1,2.306666667,19.85714286,,,
Y168,Borneo_swamp_forest,1.121528716,0.493333333,27.1,2.45,21.35230769,,,
Y169,Borneo_drained_swamp,1.224639212,0.386666667,27.2,2.22,28.25798526,,,
Y170,Borneo_drained_swamp,1.082590625,0.34,27.16666667,2.126666667,30.88557214,,,
Y171,Montana_bog_2,1.131164407,0.3997,6.8,6.216666667,21.97068692,,,
Y172,Montana_bog_2,1.187324304,0.635366667,6.8,6.513333333,20.49765909,,,
Y173,Montana_bog_2,1.109274448,0.6687,6.8,6,21.3270278,,,
Y174,Montana_Bog_1,0.753519286,0.734733333,4.1,4.836666667,25.82703745,,,
Y175,Montana_Bog_1,0.758831107,0.726666667,4.1,4.783333333,32.94988277,,,
Y176,Montana_Bog_1,0.806586937,0.742633333,4.1,4.726666667,30.8451119,,,
Y177,Taiwan_recreation,1.344726153,0.937074632,23.3,3.903333333,15.85955056,,,
Y178,Taiwan_recreation,1.408725001,0.937074632,23.3,3.85,15.04624277,,,
Y179,Taiwan_fen,1.46711837,1.026,23.3,4.07,15.95698925,,,
Y180,Taiwan_fen,1.391773003,1.02605521,23.3,3.936666667,14.02836879,,,
Y181,Finland_fen,0.73413666,0.757902998,0.1,3.923333333,20.05507502,,,
Y182,Finland_fen,0.377775536,0.710984104,0.1,3.88,19.03016278,,,
Y183,Finland_fen,0.409533227,0.736195638,0.1,3.756666667,18.68526555,,,
Y184,Finland_drained_fen,0.230242596,0.586049561,0.1,2.983333333,71.11192349,,,
Y185,Finland_drained_fen,0.326823051,0.696783487,0.1,3.516666667,46.27939148,,,
Y186,Finland_drained_fen,0.481469799,0.7359668,0.1,3.183333333,37.69086937,,,
Y187,Finland_drained_fen,0.398860873,0.586049561,0.1,3.576666667,59.58037135,,,
Y188,Finland_drained_fen,0.490370763,0.696783487,0.1,3.533333333,33.76431687,,,
Y189,Finland_drained_fen,0.550020858,0.7359668,0.1,3.426666667,26.45561141,,,
Y190,Uganda_rice_paddy,0.841825116,0.93,22.6,4.94,12.84375,,,
Y191,Uganda_rice_paddy,1.131241462,0.92,22.6,4.44,13.10526316,,,
Y192,Uganda_rice_paddy,1.124775201,0.93,22.6,5.195,11.5,,,
Y193,Uganda_rice_paddy,1.184786359,0.92,22.6,4.785,9.897058824,,,
Y194,Florida_restored_wetland_wet,1.382455066,0.86,23.3,5.673333333,13.47708895,,,
Y195,Florida_tomato_field,1.335451272,0.19,23.3,5.553333333,1.363636364,,,
Y196,Florida_restored_wetland_dry,1.160517579,0.23,23.3,7.13,1.253968254,,,
Y198,Morocco_bog_2,1.049159865,0.8707575,15.1,3.85,13.66935484,,,
Y199,Morocco_bog_2,1.066353745,0.9532282,15.1,3.69,17.15355805,,,
