,Site,log_Arch_to_Bac,log_Arch-amoa_to_Bac-amoa,pH,MAT,Soil_temperature
Y001,Iceland_fen_1,-1.518810416,0.22114489,NA,3.6,10.5
Y002,Iceland_fen_1,-1.160920007,-0.726045573,NA,3.6,11.4
Y003,Iceland_fen_1,-1.149140741,-0.468147042,NA,3.6,11.5
Y004,Iceland_fen_1,-1.190156727,-0.817105882,NA,3.6,12.3
Y005,Iceland_drained_fen_2,-2.232190682,0.218261608,NA,4.4,11.2
Y006,Iceland_drained_fen_2,-2.360708952,-0.680359847,NA,4.4,11.2
Y007,Iceland_drained_fen_2,-2.329858888,1.591784427,NA,4.4,10.7
Y008,Iceland_drained_fen_2,-2.285413717,-1.904330838,NA,4.4,11.2
Y009,Iceland_drained_fen,-1.141475292,0.597103645,4.02,4.5,9.4
Y010,Iceland_drained_fen,-1.64853143,-0.88806481,3.99,4.5,9.7
Y011,Iceland_drained_fen,-1.089452809,-3.662979765,3.95,4.5,9
Y012,Iceland_drained_fen,-0.807387495,-0.74658044,3.89,4.5,8.9
Y013,Iceland_drained_fen,-0.193351609,-4.97960617,3.88,4.5,10
Y014,Iceland_drained_fen,0.332577719,0,4.15,4.5,10
Y015,Iceland_drained_fen,0.010518038,-5.553849616,3.88,4.5,9.1
Y016,Iceland_drained_fen,0.603524485,0,3.98,4.5,8.6
Y017,Romania_bog_1,-2.241413658,-5.15969605,2.58,5.9,2.3
Y018,Romania_bog_1,-1.603509508,-4.46770679,2.6,5.9,0.5
Y019,Romania_bog_1,-1.642311928,-5.072131702,2.46,5.9,2.6
Y020,Romania_bog_forest_1,-1.152684015,8.408325353,3.7,5.9,5.1
Y021,Romania_bog_forest_1,-1.314673189,-6.975372571,3.02,5.9,0
Y022,Romania_bog_forest_1,-1.243800624,-1.251884276,4,5.9,2.6
Y023,Brazil_drained_floodplain,-1.079337271,1.258575727,6.316666667,21.3,20.4
Y024,Brazil_drained_floodplain,-0.96883516,1.766796712,5.255,21.3,21.05
Y025,Brazil_drained_floodplain,-1.032142973,1.996411802,6.135,21.3,20.1
Y026,Brazil_floodplain,-0.853009188,3.352305057,6.163333333,21.3,19
Y027,Brazil_floodplain,-0.859489946,3.440334159,6.28,21.3,19.06666667
Y028,Brazil_floodplain,-0.952505671,3.294071745,6.51,21.3,19.23333333
Y032,Quebec_drained_bog,-1.185564318,-0.349932893,5.35,7.6,21.5
Y033,Quebec_drained_bog,-1.251262525,-0.663559112,5,7.6,21.6
Y034,Quebec_drained_bog,-1.362817148,-0.358212015,4.68,7.6,19.93333333
Y035,Bashkortostan_drained_floodplain_1,-1.187070617,-2.336861437,4.346666667,4.3,14.86666667
Y036,Bashkortostan_drained_floodplain_1,-1.316981545,-1.284884971,4.753333333,4.3,17.53333333
Y037,Bashkortostan_drained_floodplain_1,-1.538042489,-0.505432584,4.27,4.3,16.73333333
Y038,Bashkortostan_fen,-1.049019786,-0.60393098,6.203333333,4.1,18.1
Y039,Bashkortostan_fen,-1.074140811,-0.514938429,6.043333333,4.1,18
Y040,Bashkortostan_fen,-1.61478627,-1.301640843,6.18,4.1,20.1
Y041,Bashkortostan_drained_floodplain_2,-1.003894173,-1.182096593,3.843333333,4.3,13.53333333
Y042,Bashkortostan_drained_floodplain_2,-0.903944684,-0.943595996,3.743333333,4.3,13.4
Y043,Bashkortostan_drained_floodplain_2,-0.970862039,-1.534855751,3.876666667,4.3,13.16666667
Y044,Bashkortostan_drained_fen,-1.219427724,1.237452071,6.38,4.2,16.93333333
Y045,Bashkortostan_drained_fen,-1.231304144,2.003319444,7.13,4.2,16.7
Y046,Estonia_drained_floodplain,-1.441996679,0.408004961,6.72,5.7,9.133333333
Y047,Estonia_drained_floodplain,-1.216060332,0.458882645,7.2,5.7,9.3
Y048,Estonia_drained_floodplain,-1.199081017,0.715122349,5.433333333,5.7,9.1
Y049,Florida_swamp_forest_1,-1.474005182,1.639638479,5.333333333,23.3,20.4
Y050,Florida_swamp_forest_1,-1.14088921,7.111962625,5.74,23.3,19.6
Y051,Florida_swamp_forest_1,-0.998653789,2.084252892,5.346666667,23.3,20.6
Y052,Florida_swamp_forest_1,-0.940756815,3.163809155,5.193333333,23.3,19.8
Y053,France_transitional_bog_1,-1.018779814,1.820066183,3.426666667,11.6,9
Y054,France_transitional_bog_1,-1.007105021,1.005376924,3.026666667,11.6,9.7
Y055,Uganda_drained_fen_1,-0.428355432,2.410043631,4.036666667,18,17.96666667
Y056,Uganda_drained_fen_2,-0.587294343,2.468595077,3.806666667,18,17.5
Y057,Uganda_drained_fen_2,-0.957290094,2.439496484,3.963333333,18,16.6
Y058,Uganda_fen,-0.890756242,2.730431729,4.216666667,18.3,16.83333333
Y059,Uganda_fen,-0.993947993,2.294512145,3.63,18.3,16.36666667
Y060,Uganda_drained_fen_1,-0.82466727,1.571795204,5.126666667,18.3,19.16666667
Y061,Uganda_drained_fen_2,-1.634165055,-0.71302656,5.52,17.8,17.63333333
Y062,Uganda_drained_fen_2,-0.623277882,0.689153375,4.966666667,17.8,17.76666667
Y063,Siberia_bog_forest,-3.095448431,3.772390109,2.613333333,-0.6,18.13333333
Y064,Siberia_bog_forest,-1.952893867,-2.205780738,2.523333333,-0.6,9.9
Y065,Siberia_bog,-1.088299226,3.222632056,2.586666667,-0.6,17.8
Y066,Siberia_bog,-2.442498595,-0.648307376,2.886666667,-0.6,17.6
Y067,Siberia_bog_forest,-2.797393567,-5.081915567,2.703333333,-0.6,17.4
Y068,Siberia_bog,-3.108842808,-0.589193921,2.696666667,-0.6,18.2
Y069,Siberia_bog_forest,-1.906318568,-4.162253034,2.5,-0.6,11.8
Y070,Siberia_fen,-1.421215182,0.661635652,4.086666667,-0.6,10.56666667
Y071,Siberia_fen,-0.97721501,-1.526216497,4.06,-0.6,14.3
Y072,France_transitional_bog_2,-1.903573307,0.360639827,3.066666667,11.6,15.6
Y073,France_transitional_bog_2,-1.375691773,0.259088162,3.59,11.6,14.4
Y074,Estonia_floodplain,-1.023476396,1.274591557,5.12,5.7,8.7
Y075,Estonia_floodplain,-1.151564587,0.495725387,5.05,5.7,8.533333333
Y076,Estonia_floodplain,-0.766093324,0.111499899,5.37,5.7,7.5
Y077,Florida_swamp_forest_2,-1.19220975,0.628404708,5.223333333,23.3,21.16666667
Y078,Florida_swamp_forest_2,-0.919312329,1.240192264,5.906666667,23.3,21.1
Y079,Florida_swamp_forest_2,-0.963425908,1.893763119,5.336666667,23.3,20.1
Y080,Florida_swamp_forest_2,-0.359470012,2.16918926,5.24,23.3,21.23333333
Y081,Tasmania_blanket_bog,-2.496122181,-1.734994841,2.82,10.2,14.4
Y082,Tasmania_blanket_bog,-1.703567992,-4.297938463,2.87,10.2,17.4
Y083,Tasmania_blanket_bog,-2.633733959,-4.188936415,2.893333333,10.2,16.5
Y084,Tasmania_drained_fen_1,-1.364185737,-1.047244829,4.166666667,13.2,16.46666667
Y085,Tasmania_drained_fen_2,-0.83711266,-1.266206831,5.765,13.1,17
Y086,Tasmania_fen,-0.895775436,0.379725892,5.38,13.1,19
Y087,Tasmania_raised_bog,-0.686290364,0.17605458,2.9,8.4,14.33333333
Y088,Tasmania_raised_bog,-1.741352615,0.781080312,3.01,8.4,15
Y089,Tasmania_raised_bog,-1.443306564,-0.316761272,4.413333333,8,12.8
Y090,New_Zealand_drained_fen_1,-1.738738482,0.761280251,4.236666667,15.2,20.16666667
Y091,New_Zealand_fen_1,-2.952896287,-4.262034863,3.61,15.2,15.06666667
Y092,New_Zealand_fen_2,-1.406462075,-0.749170956,4.8,10.7,14.93333333
Y093,New_Zealand_fen_2,-1.448681051,0.367747994,3.703333333,10.7,13.96666667
Y094,Romania_bog_forest_2,-1.4601527,1.181870734,3.37,5.9,15.06666667
Y095,Romania_bog_2,-1.689016391,-6.0597191,2.566666667,5.9,12
Y096,Romania_bog_2,-1.237613135,-3.858468205,2.586666667,5.9,13
Y097,Romania_bog_2,-1.510429637,-4.604918432,2.51,5.9,12.5
Y098,Romania_bog_forest_2,-1.831543433,-0.462515503,2.596666667,5.9,13.1
Y099,Romania_bog_forest_2,-2.019719245,-0.142294666,2.696666667,5.9,12.63333333
Y100,California_fen,-0.425378794,3.068740816,5.356666667,16.7,22.43333333
Y101,California_drained_fen,-0.6999237,-0.36887216,5.736666667,16.7,22.25833333
Y102,French_Pyrenees_fen,-0.792717955,-7.992023548,4.646666667,6.8,14.26666667
Y103,Catalonia_transitional_bog,-2.637233657,0.281571934,4.706666667,5.4,14.1
Y104,Catalonia_transitional_bog,-2.020592403,-4.469681434,3.563333333,5.4,13.96666667
Y105,Catalonia_transitional_bog,-1.979665128,1.147423391,4.276666667,5.4,13.6
Y106,Wales_fen,0.314774871,0.6837252,3.98,7.9,10.5
Y107,Wales_fen,-0.378009195,1.927827478,3.796666667,7.9,10.1
Y108,Wales_blanket_bog,-1.3167686,1.865430292,2.826666667,7.6,9.3
Y109,Wales_blanket_bog,-1.610696276,2.244100339,3.08,7.6,9.1
Y110,Wales_drained_bog,-1.111621949,0.735725529,2.806666667,7.6,9.2
Y111,Wales_drained_bog,-1.092126292,1.283449763,2.866666667,7.6,9.233333333
Y112,Tierra_del_Fuego_fen,-1.160364356,-0.583419874,4.916666667,5.3,7.5
Y113,Tierra_del_Fuego_fen,-0.807811385,-1.042379025,5.39,5.3,7.4
Y114,Tierra_del_Fuego_fen,-1.131568489,-1.664120042,5.476666667,5.3,7.8
Y115,Tierra_del_Fuego_fen,-1.146896053,-0.557349229,5.5,5.3,7.5
Y116,Tierra_del_Fuego_fen,-1.57256851,-0.583368733,4.97,5.3,5.2
Y117,Tierra_del_Fuego_bog,-0.771866118,2.876308938,2.816666667,5.3,6.233333333
Y118,Tierra_del_Fuego_bog,-1.497981587,-0.790476783,2.733333333,5.3,6.5
Y119,Tierra_del_Fuego_bog,-1.145934354,-0.399056763,3.003333333,5.3,6.733333333
Y120,Tierra_del_Fuego_bog,-0.987955856,1.023653317,3.026666667,5.3,8.2
Y121,Tierra_del_Fuego_bog,-1.337858245,-0.757874707,3.27,5.3,5.033333333
Y122,Mexico_chinampa_1,-1.012863642,0.872917403,6.296666667,16.7,17.3
Y123,Mexico_chinampa_1,-0.96506922,0.691334343,7.486666667,16.7,16.73333333
Y124,Mexico_chinampa_2,-0.950549251,-0.185589129,7.5,16.7,14.3
Y125,Mexico_chinampa_2,-0.893221589,0.316142045,7.843333333,16.7,13.56666667
Y126,Mexico_chinampa_2,-0.851014448,0.071858222,7.153333333,16.7,15
Y127,Mexico_chinampa_1,-1.027791451,0.556016021,7.423333333,16.7,16.43333333
Y128,Mexico_fen,-1.220409036,-0.347177597,6.58,16.7,11.3
Y129,Mexico_fen,-0.951196971,0.263211855,7.26,16.7,11.23333333
Y130,Mexico_fen,-1.084590844,0.245282845,7.583333333,16.7,13.43333333
Y131,Morocco_bog_1,-1.323354096,1.001153882,4.256666667,17.9,20
Y132,Morocco_bog_2,-2.047564226,3.345518923,3.843333333,15.1,15.4
Y133,Colombia_paramo,-0.560110301,0.446192684,3.603333333,9.5,14.2
Y134,Colombia_paramo,-1.120419479,-0.123027556,3.363333333,9.5,13.4
Y135,Colombia_paramo,-1.269480636,-0.113207508,3.4,9.5,12.1
Y136,Colombia_drained_paramo,-1.236730142,1.269695848,3.98,11.1,16.56666667
Y137,Colombia_drained_paramo,-1.084621715,1.18943446,3.93,11.1,16.2
Y138,Colombia_drained_paramo,-1.101751467,1.112821013,3.913333333,11.1,16.5
Y139,Pantanal_pasture_1,-1.229228329,6.143435828,4.583333333,26.5,25
Y140,Pantanal_pasture_1,-1.308987754,5.664377073,4.18,26.5,25
Y141,Pantanal_pasture_2,-0.840940245,6.210063562,3.883333333,26.5,23
Y142,Pantanal_pasture_2,-1.017888648,6.283583834,3.97,26.5,25
Y143,Pantanal_pasture_3,-0.725925537,6.834415967,3.966666667,26.4,23
Y144,Pantanal_pasture_3,-0.832465348,6.264196749,3.516666667,26.4,23.5
Y145,Pantanal_swamp_forest,-1.239346755,5.002034823,4.063333333,26.5,22.5
Y146,Pantanal_swamp_forest,-1.471811352,5.073868566,3.861694444,26.5,17.50118056
Y146B,Khabarovsk_fen,-1.213513805,-2.331800645,3.861694444,2.2,17.50118056
Y147,Khabarovsk_drained_fen,-1.388460285,0.878084446,3.78,2.2,19
Y148,Kyrgyzstan_drained_fen,-1.576081784,-1.567149932,6.983333333,-1.1,7.3
Y149,Kyrgyzstan_drained_fen,-1.342791537,0.826997459,7.206666667,-1.1,6.033333333
Y150,Kyrgyzstan_fen_1,-1.497275139,-5.109462365,6.443333333,-0.9,7
Y151,Kyrgyzstan_fen_1,-1.271061333,-0.269741027,5.41,-0.9,7.033333333
Y152,Kyrgyzstan_fen_2,-1.173202598,-5.391362898,5.963333333,-2.1,6.5
Y153,Kyrgyzstan_fen_2,-1.380490537,-0.352193607,6.703333333,-2.1,6.4
Y154,Myanmar_drained_fen_1,-1.091873538,0.445238135,7.34,22.9,15.9
Y155,Myanmar_drained_fen_1,-1.198655874,0.060658955,6.9,22.9,14.83333333
Y156,Myanmar_drained_fen_2,-1.101654322,1.388128922,5.8,22.9,15.56666667
Y157,Myanmar_drained_fen_1,-0.961277728,0.825427224,7.276666667,22.9,17
Y158,Myanmar_drained_fen_2,-0.68499158,1.04367712,6.11,22.9,13.1
Y159,Myanmar_fen,-1.098828689,2.044743935,6.856666667,22.9,15.36666667
Y160,Myanmar_drained_fen_2,-0.803022845,1.494913848,7.363333333,22.9,17.7
Y161,Myanmar_drained_fen_1,-0.86271851,1.177192696,7.446666667,22.9,17.5
Y162,Myanmar_fen,-1.021139288,0.613970589,6.67,22.9,12.6
Y163,Borneo_drained_swamp,0.405605677,7.723367808,2.143333333,27.1,29
Y164,Borneo_drained_swamp,0.176278923,7.618723637,2.183333333,27.1,29.2
Y165,Borneo_swamp_forest,-0.27543451,8.255301062,2.19,27.1,26.5
Y166,Borneo_swamp_forest,-0.356662148,7.832581464,2.266666667,27.1,26.3
Y167,Borneo_swamp_forest,-0.597295242,7.703592625,2.306666667,27.1,26.7
Y168,Borneo_swamp_forest,-0.505562453,8.655334389,2.45,27.1,26.73333333
Y169,Borneo_drained_swamp,0.294915714,7.979355542,2.22,27.2,29.73333333
Y170,Borneo_drained_swamp,0.307470849,7.95318837,2.126666667,27.16666667,30.8
Y171,Montana_bog_2,-1.377737652,0.628444734,6.216666667,6.8,15.7
Y172,Montana_bog_2,-1.514339678,-0.045373877,6.513333333,6.8,15.46666667
Y173,Montana_bog_2,-1.402722718,0.667102339,6,6.8,14.96666667
Y174,Montana_Bog_1,-2.128014788,-3.906372674,4.836666667,4.1,12.76666667
Y175,Montana_Bog_1,-2.152443048,0.473767484,4.783333333,4.1,12.7
Y176,Montana_Bog_1,-2.162415973,0.850336734,4.726666667,4.1,12.06666667
Y177,Taiwan_recreation,-0.482270329,1.621309292,3.903333333,23.3,21.5
Y178,Taiwan_recreation,-0.521149455,0.624114269,3.85,23.3,21.5
Y179,Taiwan_fen,-1.224115577,2.126983236,4.07,23.3,22.2
Y180,Taiwan_fen,-0.211801459,2.543163924,3.936666667,23.3,22.2
Y181,Finland_fen,-0.532349477,-1.091653796,3.923333333,0.1,6.975
Y182,Finland_fen,-0.662731258,-1.085780784,3.88,0.1,4.45
Y183,Finland_fen,-0.448169807,-1.19058812,3.756666667,0.1,6.125
Y184,Finland_drained_fen,-1.856829342,-0.858359815,2.983333333,0.1,6.475
Y185,Finland_drained_fen,-1.75975735,-1.18978205,3.516666667,0.1,6.725
Y186,Finland_drained_fen,-1.428987589,-1.765843628,3.183333333,0.1,5.975
Y187,Finland_drained_fen,-1.457766995,-0.804428799,3.576666667,0.1,6.475
Y188,Finland_drained_fen,-1.055577424,-2.130361261,3.533333333,0.1,6.725
Y189,Finland_drained_fen,-0.987308622,-2.693286968,3.426666667,0.1,5.975
Y190,Uganda_rice_paddy,-1.691608039,1.629801887,4.94,22.6,24.1
Y191,Uganda_rice_paddy,-1.693565806,1.240026018,4.44,22.6,24.35
