,,N2O,nir,nosZI,nosZII,amoA_bact,amoA_arch,nrfA,nifH,n-damo,comammox,,Land_use,Vegetation_type,,,,,,
Bashkortostan_drained_fen,,1.267289089,17.15,7.94,8.73,6.34,7.96,4.10,8.55,6.13,2.99,,peat_extract,sedges,,,,,,
Bashkortostan_drained_floodplain_1,,1.467953234,17.14,7.94,8.87,8.53,7.15,4.89,9.25,5.65,5.60,,hay_field,grasses,,,,,,
Bashkortostan_drained_floodplain_2,,2.190583796,16.78,7.40,7.88,7.41,6.19,3.80,8.31,5.83,2.52,,fen,sedges,,,,,,
Bashkortostan_fen,,1.174834815,18.04,8.03,8.87,6.49,5.68,4.50,9.97,7.49,5.91,,fen,sedges,,,,,,
Borneo_drained_swamp,,2.43336441,9.74,7.41,6.78,1.18,7.82,2.54,8.59,1.18,1.18,,arable,bare_soil,,,,,,
Borneo_swamp_forest,,1.947482737,15.33,7.66,7.32,1.18,8.11,4.47,9.48,1.18,1.18,,forest,tropical_forest,,,,,,
Brazil_drained_floodplain,,1.455656815,19.65,8.36,9.05,6.37,8.04,5.58,10.43,7.42,5.69,,pasture,grasses,,,,,,
Brazil_floodplain,,1.290034611,19.75,8.16,8.82,5.30,8.66,4.72,10.47,6.55,6.63,,fen,sedges,,,,,,
California_drained_fen,,1.928651847,17.41,8.12,8.80,8.05,7.68,6.14,8.62,5.31,1.18,,hay_field,sedges,,,,,,
California_fen,,1.189490314,18.70,8.63,8.20,4.67,7.74,6.36,9.88,6.75,7.45,,fen,sedges,,,,,,
Catalonia_transitional_bog,,1.328379603,16.95,8.24,8.03,4.34,3.72,3.23,9.88,6.16,2.71,,pasture,mosses,,,,,,
Colombia_drained_paramo,,1.15896526,18.77,9.30,7.80,6.04,7.23,5.18,10.83,8.00,5.84,,pasture,grasses,,,,,,
Colombia_paramo,,1.180794682,18.05,8.95,7.61,5.69,5.75,5.50,10.60,6.48,6.43,,bog,grasses,,,,,,
Estonia_drained_floodplain,,1.953034457,18.88,8.28,8.17,7.48,8.01,4.95,8.99,6.46,6.17,,hay_field,sedges,,,,,,
Estonia_floodplain,,1.393224116,18.76,8.89,9.05,7.18,7.81,4.83,9.93,6.07,6.71,,fen,sedges,,,,,,
Finland_drained_fen,,1.151625182,14.96,7.04,7.80,6.47,4.89,5.29,10.02,6.92,1.18,,forest,sedges,,,,,,
Finland_fen,,1.167415803,16.48,7.30,3.38,5.28,4.16,4.09,9.86,6.24,1.18,,fen,sedges,,,,,,
Florida_restored_wetland_dry,,1.372543801,14.82,1.18,7.66,5.31,6.62,4.75,7.62,4.51,3.88,,fen,bare_soil,,,,,,
Florida_restored_wetland_wet,,1.503518313,14.72,6.66,7.35,3.70,5.84,3.56,8.99,5.52,4.82,,fen,bare_soil,,,,,,
Florida_swamp_forest_1,,1.497793229,19.04,8.40,8.82,4.60,7.80,5.16,9.84,6.63,6.17,,forest,tropical_forest,,,,,,
Florida_swamp_forest_2,,1.201874859,18.84,8.50,8.94,6.46,7.95,5.60,9.89,7.00,6.09,,forest,tropical_forest,,,,,,
Florida_tomato_field,,1.305351369,17.36,8.14,7.51,5.99,7.40,5.08,9.12,6.53,5.64,,pasture,bare_soil,,,,,,
France_transitional_bog_1,,1.186391216,13.54,7.28,8.37,5.20,6.62,5.70,9.75,5.42,3.26,,bog,sedges,,,,,,
France_transitional_bog_2,,1.172018809,17.03,8.10,8.77,6.64,6.95,4.67,9.83,5.50,4.90,,bog,sedges,,,,,,
