Site,N2µg,Land_use,Climate,Agricultural_intensity,N2µg,,,
Tierra_del_Fuego_fen,5697.110682,Fen,C,0,5697.110682,,,
Tierra_del_Fuego_fen,10339.05345,Fen,C,0,10339.05345,,,
Tierra_del_Fuego_fen,3101.62534,Fen,C,0,3101.62534,,,
Tierra_del_Fuego_fen,4415.443295,Fen,C,0,4415.443295,,,
Tierra_del_Fuego_fen,2631.967772,Fen,C,0,2631.967772,,,
Tierra_del_Fuego_bog,8380.017245,Bog,C,0,8380.017245,,,
Tierra_del_Fuego_bog,694.8893512,Bog,C,0,694.8893512,,,
Tierra_del_Fuego_bog,854.915199,Bog,C,0,854.915199,,,
Tierra_del_Fuego_bog,427.2095427,Bog,C,0,427.2095427,,,
Tierra_del_Fuego_bog,560.3245581,Bog,C,0,560.3245581,,,
Morocco_bog_1,5501.903823,Bog,C,0,5501.903823,,,
Morocco_bog_2,6536.628852,Bog,C,0,6536.628852,,,
Colombia_paramo,5839.557152,Bog,C,0,5839.557152,,,
Colombia_paramo,6043.406988,Bog,C,0,6043.406988,,,
Colombia_paramo,2089.93392,Bog,C,0,2089.93392,,,
Colombia_drained_paramo,7527.68,Pasture,C,2,7527.68,,,
Colombia_drained_paramo,3521.71,Pasture,C,2,3521.71,,,
Colombia_drained_paramo,4701.655,Pasture,C,2,4701.655,,,
Pantanal_pasture_1,13236.54319,Fen,A,1,13236.54319,,,
Pantanal_pasture_1,1441.674111,Fen,A,1,1441.674111,,,
Pantanal_pasture_2,4855.644679,Fen,A,1,4855.644679,,,
Pantanal_pasture_2,3293.433397,Fen,A,1,3293.433397,,,
Pantanal_pasture_3,5324.678087,Fen,A,1,5324.678087,,,
Pantanal_pasture_3,1601.914104,Fen,A,1,1601.914104,,,
Pantanal_swamp_forest,1329.263164,Forest,A,0,1329.263164,,,
Pantanal_swamp_forest,544.2809779,Forest,A,0,544.2809779,,,
Khabarovsk_fen,1353.816762,Fen,D,0,1353.816762,,,
Khabarovsk_drained_fen,589.9198609,Arable,D,1,589.9198609,,,
Kyrgyzstan_drained_fen,236.7336336,Pasture,D,2,236.7336336,,,
Kyrgyzstan_fen_1,285.2992194,Fen,D,1,285.2992194,,,
Kyrgyzstan_fen_1,1512.697046,Fen,D,1,1512.697046,,,
Kyrgyzstan_fen_2,1936.534982,Fen,D,1,1936.534982,,,
Kyrgyzstan_fen_2,178.8119348,Fen,D,1,178.8119348,,,
Myanmar_drained_fen_1,553.730977,Arable,A,3,553.730977,,,
Myanmar_drained_fen_1,352.2505027,Arable,A,3,352.2505027,,,
Myanmar_drained_fen_2,2376.513751,Arable,A,1,2376.513751,,,
Myanmar_drained_fen_1,446.8279238,Arable,A,3,446.8279238,,,
Myanmar_drained_fen_2,481.087346,Arable,A,1,481.087346,,,
Myanmar_fen,403.392338,Fen,A,1,403.392338,,,
Myanmar_drained_fen_2,604.0907194,Arable,A,1,604.0907194,,,
Myanmar_drained_fen_1,433.2051434,Arable,A,3,433.2051434,,,
Myanmar_fen,1400.231676,Fen,A,1,1400.231676,,,
Borneo_drained_swamp,1051.084646,Arable,A,3,1051.084646,,,
Borneo_drained_swamp,156.5407456,Arable,A,3,156.5407456,,,
Borneo_swamp_forest,897.7677732,Forest,A,0,897.7677732,,,
Borneo_swamp_forest,576.7459576,Forest,A,0,576.7459576,,,
Borneo_swamp_forest,308.3210008,Forest,A,0,308.3210008,,,
Borneo_swamp_forest,658.6732868,Forest,A,0,658.6732868,,,
Borneo_drained_swamp,154.7751496,Arable,A,3,154.7751496,,,
Borneo_swamp_forest,232.9227865,Arable,A,0,232.9227865,,,
Montana_bog_2,462.1362407,Pasture,C,1,462.1362407,,,
Montana_bog_2,904.9722329,Pasture,C,1,904.9722329,,,
Montana_bog_2,894.4033567,Pasture,C,1,894.4033567,,,
Montana_Bog_1,544.3335361,Bog,C,0,544.3335361,,,
Montana_Bog_1,564.266661,Bog,C,0,564.266661,,,
Montana_Bog_1,484.081475,Bog,C,0,484.081475,,,
Taiwan_recreation,1053.96176,Fen,A,2,1053.96176,,,
Taiwan_fen,2631.499202,Fen,A,1,2631.499202,,,
Finland_fen,2286.613653,Fen,D,0,2286.613653,,,
Finland_fen,3123.854021,Fen,D,0,3123.854021,,,
Finland_fen,2311.756207,Fen,D,0,2311.756207,,,
Finland_drained_fen,376.2195723,Forest,D,0,376.2195723,,,
Finland_drained_fen,1076.262479,Forest,D,0,1076.262479,,,
Finland_drained_fen,1198.318393,Forest,D,0,1198.318393,,,
Morocco_bog_2,8036.26543,Bog,C,0,8036.26543,,,
Morocco_bog_2,8461.344244,Bog,C,0,8461.344244,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
