Sample_name,SITE,Archaeal_diversity,Bacterial_diversity,Fungal_diversity,DistEqu,pH,MAT
Haru2C1,Tierra_del_Fuego_bog,0,5.59030377,2.198339678,54.74044,2.72,53
V2-10,Siberia_bog,2.6396837,4.99945678,0.741636414,60.88,2.57,-6
MX_f_8-5,Mexico_fen,3.51306219,5.97128704,0.156586232,19.2862,7.6,167
Haru4B1,Tierra_del_Fuego_bog,2.13363136,6.13270725,0.998469812,54.74044,2.94,53
Haru5A1,Tierra_del_Fuego_bog,0,5.65877864,1.010883784,54.74044,2.84,53
MX_g_5-5,Mexico_chinampa_2,2.86096471,6.73932711,1.530545647,19.29,7.9,167
Haru4A1,Tierra_del_Fuego_bog,1.13241633,6.05631155,1.219338241,54.74044,3.04,53
MMa03,Myanmar_drained_fen_1,3.41070728,6.89442573,1.006575237,20.649196,7.28,229
KL7,Estonia_floodplain,2.48113564,6.67188483,1.633433076,58.4142,5.01,57
MX_f_9-5,Mexico_fen,3.61252722,5.75544366,0.298401922,19.2862,7.59,167
Haru5B1,Tierra_del_Fuego_bog,1.05492017,6.3539395,1.170359209,54.74044,3.21,53
KK4,Estonia_drained_floodplain,2.53754005,7.02405421,1.222768007,58.4236,7.28,57
KK7,Estonia_drained_floodplain,2.52672496,6.5098454,1.544052747,58.4236,5.51,57
RL_1.1_0-10,Romania_bog_2,2.09472905,5.05355125,1.565359107,47.2591,2.59,59
Kopu_2_0-10,New_Zealand_drained_fen_1,2.39886605,5.5746985,1.537835562,37.4333,3.36,152
MMa02,Myanmar_drained_fen_1,4.1105933,7.27814909,0.93513421,20.649196,7.38,229
V3-10,Siberia_bog,1.75511568,5.37102311,1.577964168,60.88,2.61,-6
TW_d7_20-30,Taiwan_recreation,4.62846652,7.23033747,1.359616769,22.2006,3.98,233
MMa05,Myanmar_drained_fen_1,3.8805424,7.20290173,0.892112864,20.649196,7.06,229
MYa_13-10,Borneo_drained_swamp,2.84777253,5.42408918,1.634009135,5.323896,2.22,272
MMg12,Myanmar_drained_fen_2,3.22453411,6.77907735,0.953513203,20.6108,7.28,229
TM_a_I_-10_cm,Brazil_floodplain,3.50010299,6.90749567,1.167592577,28.5527,6.26,213
KK8,Estonia_drained_floodplain,2.2902402,6.52509185,1.506277566,58.4236,5.43,57
R1-3-10,Siberia_bog_forest,1.17384564,5.92825394,1.070381105,60.88,2.46,-6
P2-3-10,Siberia_bog_forest,1.24245332,6.07622272,1.363175727,60.88,2.63,-6
RL_3.2_0-10,Romania_bog_2,2.69072915,4.6273337,1.711178938,47.2591,2.51,59
P1_0-10,French_Pyrenees_fen,3.23597541,6.68379819,1.509760332,42.8032,5.02,68
CR7_0-10,Morocco_bog_2,2.21025358,6.59022481,1.335160952,35.1866,3.75,151
R1-2-10,Siberia_bog_forest,1.09861229,5.66120477,1.610520879,60.88,2.57,-6
CD3-10,Florida_restored_wetland_dry,3.48031188,7.20423633,1.089052127,26.46488,7.58,233
B4-10,Tasmania_blanket_bog,1.05472092,5.48638205,1.456069316,42.881,2.98,102
RL_2.3_0-10,Romania_bog_2,2.33425513,4.47467746,1.307752345,47.2591,2.56,59
SM2-10,Tasmania_drained_fen_1,1.38629436,6.23115262,1.519315595,40.866502,4.09,132
A1-1-10,Siberia_bog,2.44973395,5.67792139,0.848234677,60.88,2.87,-6
Haru5C1,Tierra_del_Fuego_bog,2.12734057,5.87738402,0.574133791,54.74044,3.76,53
R1-1-10,Siberia_bog_forest,0.69314718,5.90121505,1.484025873,60.88,2.54,-6
R2-1-10,Siberia_bog_forest,0.95027054,5.84900836,1.345568261,60.88,2.48,-6
BRf_20-10,Pantanal_pasture_2,3.71119523,6.31250861,1.432249208,16.512,4.02,265
SL1-10,Tasmania_fen,3.13209524,7.17095175,1.575520218,40.9234,5.65,131
MYa_14-10,Borneo_drained_swamp,2.17027678,3.75177915,1.177192988,5.323896,2.07,272
Haru1A1,Tierra_del_Fuego_bog,2.35929166,5.8114118,1.10719835,54.74044,3,53
B2-10,Tasmania_blanket_bog,0,4.99132908,1.509608592,42.881,2.78,102
RL_2.2_0-10,Romania_bog_2,1.98053561,4.40539486,0.905572148,47.2591,2.54,59
Haru3C1,Tierra_del_Fuego_bog,1.63043258,5.74378212,0.251931305,54.74044,3.14,53
V3-10,Siberia_bog,1.75511568,5.37102311,1.649139269,60.88,2.61,-6
B4-10,Tasmania_blanket_bog,1.05472092,5.48638205,1.44423778,42.881,2.98,102
Haru3A1,Tierra_del_Fuego_bog,2.18847073,5.90052336,1.039759738,54.74044,2.92,53
Looduslik_2______0-10,Romania_bog_1,2.23149063,5.37063961,1.482653088,47.2591,2.6,59
KK6,Estonia_drained_floodplain,2.30297252,6.72975274,1.83783317,58.4236,6.98,57
D33-30,Uganda_rice_paddy,2.75842439,6.13504345,1.484813824,0.933939,4.65,226
RC_1-10,Uganda_drained_fen_1,2.43657852,6.77418456,1.537992139,1.342,5.34,183
BRf_27-10,Pantanal_pasture_3,4.27162505,7.00309421,1.096737023,16.5398,4.03,264
A1-3-10,Siberia_bog,1.66746193,5.29842302,0.492904972,60.88,2.93,-6
A1-3-10,Siberia_bog,1.66746193,5.29842302,0.486933665,60.88,2.93,-6
B2-10,Tasmania_blanket_bog,0,4.99132908,1.369917646,42.881,2.78,102
Haru4C1,Tierra_del_Fuego_bog,2.9434283,5.67091066,0.703906369,54.74044,3.1,53
CR6_0-10,Morocco_bog_2,2.19346271,6.35208835,1.448597881,35.1866,3.74,151
TM_a_III_-10_cm,Brazil_floodplain,3.04535395,6.71638237,0.793012776,28.5527,6.42,213
TF3-10,Florida_tomato_field,2.23981076,6.71073327,1.448817588,26.3793,5.41,233
A1-2-10,Siberia_bog,2.28144181,5.38654488,0.213876346,60.88,2.86,-6
Vega5A1,Tierra_del_Fuego_fen,1.44271459,6.40307935,1.307544519,54.74044,4.87,53
SN2-10,Tasmania_drained_fen_2,1.94872803,6.8154886,1.752887207,40.9231,5.55,131
CD1-10,Florida_restored_wetland_dry,3.4443924,7.32188195,0.82007983,26.46488,6.85,233
HAg_3-10,Khabarovsk_drained_fen,2.76687855,5.2522167,1.864989384,48.49355,3.68,22
Haru3B1,Tierra_del_Fuego_bog,0,5.60687316,0.248875889,54.74044,2.95,53
A1-1-10,Siberia_bog,2.44973395,5.67792139,0.845709261,60.88,2.87,-6
BRf_28-10,Pantanal_pasture_3,4.43965445,7.23902832,1.316388765,16.5398,3.8,264
HAg_1-10,Khabarovsk_drained_fen,2.6926,5.29996405,1.853983787,48.49355,3.88,22
Kopu_3_0-10,New_Zealand_drained_fen_1,1.56071041,6.8674355,1.873174037,37.4333,4.71,152
Haru1C1,Tierra_del_Fuego_bog,2.67480027,5.89202208,1.762350679,54.74044,2.77,53
B6-10,Tasmania_blanket_bog,0,5.61588744,2.16072133,42.881,2.64,102
B5-10,Tasmania_blanket_bog,0,5.34790643,1.94407644,42.881,2.99,102
OII_4_0-10,Iceland_drained_fen,3.42671425,6.415091,0.888305212,64.8332,3.98,45
D21-30,Uganda_rice_paddy,3.48695798,5.28752238,1.270970761,0.93371,5.33,226
B8-10,Tasmania_blanket_bog,0,5.17825855,0.687659958,42.881,2.78,102
BRf_30-10,Pantanal_pasture_3,4.26534727,7.06180873,0.922838576,16.5398,3.61,264
BRf_32-10,Pantanal_pasture_3,4.13797251,6.87361402,1.045924572,16.5398,3.52,264
Haru3C1,Tierra_del_Fuego_bog,1.63043258,5.74378212,0.339156207,54.74044,3.14,53
OII_1_0-10,Iceland_drained_fen,2.73785787,6.54992573,1.276413879,64.8332,3.88,45
Haru2B1,Tierra_del_Fuego_bog,1.09861229,5.8375678,0.882757676,54.74044,2.7,53
Awarua_5_0-10,New_Zealand_fen_2,2.27764673,6.5338927,1.758275171,46.5356,3.37,107
RL_3.2_0-10,Romania_bog_2,2.69072915,4.6273337,1.629946841,47.2591,2.51,59
TM_a_II_-10_cm,Brazil_floodplain,3.73328416,6.41587363,0.918721727,28.5527,6.16,213
HAg_1-10,Khabarovsk_drained_fen,2.6926,5.29996405,1.037657597,48.49355,3.88,22
HAf_2-10,Khabarovsk_fen,2.78800902,6.12803322,1.46279294,48.497288,3.82,22
HAf_1-10,Khabarovsk_fen,2.60408995,6.62628096,1.548000355,48.497288,3.78,22
B7-10,Tasmania_blanket_bog,0,5.53449168,1.932113389,42.881,2.95,102
Awarua_6_0-10,New_Zealand_fen_2,2.37046775,6.26013691,1.66136742,46.5356,3.17,107
f_14.10,Kyrgyzstan_fen_2,3.82797045,6.79143069,0.47073445,41.894,5.77,-21
Haru1B1,Tierra_del_Fuego_bog,1.7699673,5.77763472,1.41413013,54.74044,2.68,53
KL_3-10,Uganda_drained_fen_2,3.12457283,6.52611761,1.654733913,1.12,4,180
MMg06,Myanmar_drained_fen_2,4.01095128,7.38797041,1.229845918,20.639371,6.55,229
Haru1C1,Tierra_del_Fuego_bog,2.67480027,5.89202208,1.775488954,54.74044,2.77,53
OII_2_0-10,Iceland_drained_fen,2.03301468,4.80676192,1.718729547,64.8332,4.15,45
BRf_30-10,Pantanal_pasture_3,4.26534727,7.06180873,0.914568322,16.5398,3.61,264
BRf_26-10,Pantanal_pasture_3,4.89061058,7.15466409,0.955357684,16.5398,4.07,264
V2-10,Siberia_bog,2.6396837,4.99945678,1.064522735,60.88,2.57,-6
HAf_1-10,Khabarovsk_fen,2.60408995,6.62628096,1.51206993,48.497288,3.78,22
HAg_2-10,Khabarovsk_drained_fen,2.33993636,5.6871399,1.298375592,48.49355,3.78,22
CR8_0-10,Morocco_bog_2,2.47499608,6.46086874,1.764596363,35.1866,3.62,151
BRf_33-10,Pantanal_pasture_3,4.46776805,6.96128766,0.846284201,16.5398,3.37,264
Vega5B1,Tierra_del_Fuego_fen,1.50478828,6.49246596,1.677934494,54.74044,4.94,53
Kopu_4_0-10,New_Zealand_fen_1,0,6.10849628,1.522117725,37.4333,3.7,152
MX_g_6-5,Mexico_chinampa_2,2.7514043,6.97911189,0.642679083,19.29,7.69,167
MX_f_6-5,Mexico_fen,3.7180278,6.29358566,0.249707019,19.2862,7.37,167
BRf_28-10,Pantanal_pasture_3,4.43965445,7.23902832,1.277591029,16.5398,3.8,264
C_(H)_9_0-10,Morocco_bog_2,2.47814841,6.72157844,1.672737049,35.1866,3.7,151
BRf_26-10,Pantanal_pasture_3,4.89061058,7.15466409,0.985910588,16.5398,4.07,264
MYa_12-10,Borneo_drained_swamp,2.92734797,5.27460521,1.58487213,5.323896,2.27,272
Awarua_1_0-10,New_Zealand_drained_fen_2,1.97300141,7.0204517,1.960136998,46.5356,5.78,107
BRf_33-10,Pantanal_pasture_3,4.46776805,6.96128766,0.915503146,16.5398,3.37,264
