Y,Bacteria,Archaea,Functional_gene_diversity,Arch-amoA,Bac-amoA,comammox,nirK,nirS,nrfA,nosZI,nosZII,n.damo,nifH,,,X,Latitude,Longitude,pH,VPG,OrM,Water_content,P,K,Ca,Mg,NO3,NH4,N,C,C.N,Water_table,Soil_temperature,MAT,MAP
Bashkortostan_drained_fen,10.628521,9.403155,1.386849253,7.956205,6.335822,2.893268,9.360852,7.785808,4.101973,7.942312,8.727156,6.132126,8.541885,,,Bashkortostan_drained_fen,55.5476,55.598,6.755,5,0.29,0.350716667,1.504130906,1.941080568,4.239001086,3.129822502,0.875504982,-0.595166283,0.097488687,1.216737545,1.107239602,2.106077519,1.250420002,4.2,2.675778342
Bashkortostan_drained_floodplain_1,10.846346,9.498981,1.47858154,7.151525,8.527251,5.60229,9.426868,7.706306,4.89312,7.944731,8.867422,5.651963,9.253534,,,Bashkortostan_drained_floodplain_1,55.4491,55.4865,4.456666667,5,0.342222222,0.208544444,1.650954758,2.459924976,3.624783841,2.851936107,1.108437227,1.502058223,NA,1.252610341,NA,1.698970004,1.262978146,4.3,2.699837726
Bashkortostan_drained_floodplain_2,10.622596,9.663029,0.962905276,6.193637,7.413817,2.398195,9.591754,7.190512,3.800939,7.401433,7.879208,5.832148,8.311522,,,Bashkortostan_drained_floodplain_2,55.4337,55.4497,3.821111111,5,0.29,0.417777778,1.209515015,2.221167821,3.558397868,2.955094713,1.006513581,1.060109991,0.152288344,1.212897526,1.060609182,1.698970004,1.167645476,4.3,2.691081492
Bashkortostan_fen,11.177201,9.931218,1.24027836,5.680865,6.487685,5.911655,9.648186,8.386415,4.500643,8.024545,8.86508,7.485912,9.974377,,,Bashkortostan_fen,55.4804,55.9943,6.142222222,1,0.506666667,0.93,2.335085521,2.618003909,3.95185161,3.241578852,0.077973194,1.663962533,0.200485698,1.452144363,1.245110626,2.297395711,1.301029996,4.1,2.723455672
Borneo_drained_swamp,9.905632,10.2017,1.086037644,7.818659,1,1,8.562758,1,2.44433,7.408579,6.778471,1,8.591241,,,Borneo_drained_swamp,5.322965,115.6649604,2.168333333,4.75,0.784166667,0.384166667,1.050347528,1.56019566,2.341154138,2.21163217,1.1532049,1.692766161,0.142493751,1.603748643,1.462487617,2.155336037,1.461648568,27.14166667,3.522824455
Borneo_swamp_forest,10.829548,10.395809,0.98567714,8.111702,1,1,9.345652,5.982041,4.466912,7.663102,7.324105,1,9.476972,,,Borneo_swamp_forest,5.3223,115.6581,2.303333334,5,0.793333334,0.61,2.019735774,2.357780848,2.235275877,2.587645498,1.503302565,1.661039287,0.266976056,1.616134036,1.355671711,2.158362492,1.420505837,27.1,3.536558443
Brazil_drained_floodplain,11.459809,10.433037,1.356088954,8.039906,6.36598,5.69018,10.141252,9.515707,5.581349,8.365545,9.050491,7.422849,10.435978,,,Brazil_drained_floodplain,-28.5523,-48.8076,5.902222222,4,0.368333333,0.78625,1.852954151,2.341771848,3.75694657,2.829071372,0.746616903,1.195369139,0.282924073,1.31692507,1.035037824,2.269512944,1.299216655,21.3,3.147676324
Brazil_floodplain,11.391046,10.502711,1.389089106,8.660733,5.298518,6.633317,10.097715,9.660777,4.724554,8.161322,8.823158,6.553309,10.453166,,,Brazil_floodplain,-28.5527,-48.8079,6.317777778,1,0.221111111,0.906468889,1.42258984,2.527204419,3.452467949,3.323917073,0.526339277,1.045444686,0.06279083,1.104145551,1.041512299,2.315503864,1.258211452,21.3,3.147676324
California_drained_fen,10.562601,9.862677,1.549541817,7.676504,8.045376,1,9.413954,8.002502,6.140123,8.121289,8.804311,5.305826,8.623416,,,California_drained_fen,38.0169,-121.6203,5.736666667,3,0.27,0.962606483,1.752739694,2.494465356,3.884834998,3.320859135,0.596083702,0.781108836,0.025715384,1.22976714,1.204051756,2.28780173,1.355227961,16.7,2.572871602
California_fen,10.613255,10.187877,1.469726035,7.740186,4.671529,7.45077,8.984031,9.716234,6.360172,8.629145,8.20476,6.750607,9.880202,,,California_fen,38.0169,-121.6203,5.356666667,3,0.266666667,0.423333333,1.901875886,2.302489665,3.64761766,3.192316505,-0.32330639,0.700991998,0.086359831,1.234625388,1.148265557,2.283301229,1.359202861,16.7,2.572871602
