Y,Archaea;Aenigmarchaeota,Archaea;Altiarchaeota,Archaea;Asgardarchaeota,Archaea;Crenarchaeota,Archaea;Euryarchaeota,Archaea;Hadarchaeota,Archaea;Halobacterota,Archaea;Micrarchaeota,Archaea;Nanoarchaeota,Archaea;Thermoplasmatota,Bacteria;Abditibacteriota,Bacteria;Acidobacteriota,Bacteria;Actinobacteriota,Bacteria;Armatimonadota,Bacteria;Bacteroidota,Bacteria;Bdellovibrionota,Bacteria;Caldatribacteriota,Bacteria;Calditrichota,Bacteria;Campilobacterota,Bacteria;Chloroflexi,Bacteria;Cloacimonadota,Bacteria;Cyanobacteria,Bacteria;Deferrisomatota,Bacteria;Dependentiae,Bacteria;Desulfobacterota,Bacteria;Elusimicrobiota,Bacteria;Entotheonellaeota,Bacteria;FCPU426,Bacteria;Fibrobacterota,Bacteria;Firestonebacteria,Bacteria;Firmicutes,Bacteria;Fusobacteriota,Bacteria;GAL15,Bacteria;Gemmatimonadota,Bacteria;Hydrogenedentes,Bacteria;LCP-89,Bacteria;Latescibacterota,Bacteria;MBNT15,Bacteria;Margulisbacteria,Bacteria;Marinimicrobia_(SAR406_clade),Bacteria;Methylomirabilota,Bacteria;Myxococcota,Bacteria;NB1-j,Bacteria;Nitrospinota,Bacteria;Nitrospirota,Bacteria;Patescibacteria,Bacteria;Planctomycetota,Bacteria;Proteobacteria,Bacteria;RCP2-54,Bacteria;SAR324_clade(gr_B),Bacteria;Spirochaetota,Bacteria;Sumerlaeota,Bacteria;Sva0485,Bacteria;TA06,Bacteria;Verrucomicrobiota,Bacteria;WOR-1,Bacteria;WPS-2,Bacteria;WS1,Bacteria;WS2,Bacteria;WS4,Bacteria;Zixibacteria,Ascomycota,Basidiomycota,Chytridiomycota,Glomeromycota,Mortierellomycota,Mucoromycota,,X,Latitude,Longitude,pH,VPG,OrM,Water_content,P,K,Ca,Mg,NO3,NH4,N,C,C.N,Water_table,Soil_temperature,MAT,MAP
Bashkortostan_drained_fen,0.006485647,0.001658477,0,0.123139863,0.003112278,0,0.004079185,0.002082044,0.033731788,0.021982764,0.000955302,0.328606386,0.293260595,0.05040825,0.317119351,0.061573557,0.022308943,0.004406241,0.009246049,0.31959601,0.001095023,0.031601793,0.002082044,0.044626202,0.127907773,0.048233736,0.035891533,0.007600251,0.036997474,0.001658477,0.112652327,0,0.005666824,0.198462729,0.025539099,0.00482926,0.112851681,0.09236441,0.001533674,0,0.101913978,0.246540694,0.065706626,0.006910125,0.113335835,0.073678229,0.203835377,0.51374245,0.051685349,0.015617952,0.046149301,0.0210784,0.056055698,0.008720615,0.168369726,0.002425314,0.011570126,0.004387919,0.023204636,0.003731349,0.031400828,0.510889083,0.302892665,0.131106432,0.05079661,0.316288079,0.06121396,,Bashkortostan_drained_fen,55.5476,55.598,6.755,5,0.29,0.350716667,1.504130906,1.941080568,4.239001086,3.129822502,0.875504982,-0.595166283,0.097488687,1.216737545,1.107239602,2.106077519,1.250420002,4.2,2.675778342
Bashkortostan_drained_floodplain_1,0.001870649,0.001896832,0,0.07775738,0.050752109,0,0.068727127,0.001113789,0.013112706,0.023864893,0.008411392,0.406817787,0.311678727,0.067035847,0.252783086,0.057985792,0.002252475,0,0.004714953,0.292008869,0.003634201,0.066580879,0.001550298,0.047519422,0.093348702,0.068492998,0.000461408,0.008159925,0.022758025,0.000906584,0.118193195,0.000641052,0,0.186043679,0.008795278,0.000480321,0.0744666,0.036645318,0,0,0.06199363,0.221130294,0.024989583,0.001826183,0.070778193,0.066464097,0.237185477,0.519048442,0.048358567,0.022145152,0.026575499,0.021756331,0.017700329,0.000461408,0.261020568,0.001014999,0.031593595,0.004495541,0.012944239,0.004530809,0.008278608,0.452887489,0.203854694,0.064297641,0.028487161,0.283581531,0.005297014,,Bashkortostan_drained_floodplain_1,55.4491,55.4865,4.456666667,5,0.342222222,0.208544444,1.650954758,2.459924976,3.624783841,2.851936107,1.108437227,1.502058223,NA,1.252610341,NA,1.698970004,1.262978146,4.3,2.699837726
Bashkortostan_drained_floodplain_2,0.003316609,0.006280518,0.00128388,0.113683851,0.064934063,0.003994283,0.067734055,0.001273013,0.06334233,0.042169597,0.006372071,0.314058774,0.316451522,0.046501318,0.339614416,0.073100575,0.001103013,0,0.024797667,0.321621616,0.009693029,0.058509524,0.00124918,0.055599724,0.218201116,0.039551304,0,0.020586824,0.028796245,0,0.161934314,0.00128388,0,0.183786572,0.01717473,0.006791544,0.036184932,0.023857307,0.002591991,0.021230347,0.029690911,0.143159046,0.001456776,0.000818677,0.090572286,0.144048102,0.130980072,0.533436199,0.057481188,0.026812656,0.043934043,0.019556838,0.094570958,0.005845004,0.178276097,0.00117895,0.076029336,0.006554897,0.00422626,0.006877144,0.018183547,0.195930576,0.297428032,0.196124192,0.005208969,0.143862582,0,,Bashkortostan_drained_floodplain_2,55.4337,55.4497,3.821111111,5,0.29,0.417777778,1.209515015,2.221167821,3.558397868,2.955094713,1.006513581,1.060109991,0.152288344,1.212897526,1.060609182,1.698970004,1.167645476,4.3,2.691081492
Bashkortostan_fen,0.00885696,0,0.00562892,0.058210892,0.008970225,0.001267389,0.005072546,0.019699132,0.065251147,0.05896196,0.000730465,0.187292993,0.190693432,0.049810317,0.427737667,0.068550053,0.018177724,0.017274223,0.200771057,0.351990924,0.014251852,0.047598243,0,0.051696383,0.271215062,0.036284886,0.00685779,0.023099683,0.047718653,0.001520928,0.152629235,0.023953423,0,0.089851752,0.026956191,0.037828293,0.072666186,0.036287613,0.004612847,0.001673825,0.011528081,0.147153724,0.055630679,0.001146607,0.077575968,0.141983778,0.216446706,0.497245522,0.01037449,0.019364477,0.106415428,0.022260028,0.049606715,0.026427225,0.142361042,0.017809385,0.011695665,0.02447041,0.017800531,0.003487188,0.059568611,0.124748878,0.107869119,0.066651569,0.004905675,0.014735503,0.01603083,,Bashkortostan_fen,55.4804,55.9943,6.142222222,1,0.506666667,0.93,2.335085521,2.618003909,3.95185161,3.241578852,0.077973194,1.663962533,0.200485698,1.452144363,1.245110626,2.297395711,1.301029996,4.1,2.723455672
Borneo_drained_swamp,0.000438298,0,0,0.283805783,0,0,0.00493574,0.014959995,0.001543664,0.255048095,0.001527461,0.4862887,0.216575774,0.08670809,0.065653945,0.061688765,0.001130383,0.000182328,0,0.039685093,0.000292934,0.08856193,0,0.044957801,0.005218298,0.041109644,0,0.066940101,0,0,0.040231245,0.000410238,0.044140669,0.020275976,0.00059393,0,0.001346603,0.001127062,0,0.002917902,0.000686451,0.066089372,0.00071759,0.002406969,0.001844118,0.015093262,0.209350905,0.539652538,0.153426056,0.004347013,0.017292339,0.000545728,0.001219154,0.000241551,0.191435137,0,0.249894308,0,0,0,0,0.537202654,0.342514208,0.048492888,0.00332199,0.068343495,0.076787822,,Borneo_drained_swamp,5.322965,115.6649604,2.168333333,4.75,0.784166667,0.384166667,1.050347528,1.56019566,2.341154138,2.21163217,1.1532049,1.692766161,0.142493751,1.603748643,1.462487617,2.155336037,1.461648568,27.14166667,3.522824455
Borneo_swamp_forest,0.000187874,0,0,0.203618088,0.001141221,0,0.003397724,0.012945518,0.006208279,0.224641712,0.001068502,0.525662911,0.209857496,0.047052276,0.10259053,0.05539373,0.00296594,0,0.000904723,0.041658594,0.000169992,0.060162841,0,0.052630605,0.011632807,0.036051101,0.000454473,0.043287924,0.001876841,0,0.096118038,0.000208804,0.037601488,0.05899569,0.000420258,0,0.002018176,0.003179793,0,0,0.01355162,0.11325892,0.001686561,0.003553189,0.006422672,0.024534048,0.25960841,0.551258503,0.181448281,0.019485094,0.044204695,0.00070086,0.002394488,0,0.221656654,0,0.177285028,0.000284482,0.001893124,0,0.000520024,0.47468641,0.463568595,0.169403975,0.073564078,0.346296377,0.075362394,,Borneo_swamp_forest,5.3223,115.6581,2.303333334,5,0.793333334,0.61,2.019735774,2.357780848,2.235275877,2.587645498,1.503302565,1.661039287,0.266976056,1.616134036,1.355671711,2.158362492,1.420505837,27.1,3.536558443
Brazil_drained_floodplain,0.011170411,0.012077472,0.007287099,0.124684478,0.029434166,0.002802806,0.047176988,0.01082975,0.043475639,0.015426288,0.005693736,0.308014201,0.147632914,0.033121138,0.1994923,0.041156613,0,0.021839748,0.009115458,0.361018061,0,0.043232362,0.01109556,0.044104011,0.268896654,0.034147414,0.059937516,0.0162954,0.031106713,0.000414946,0.125296296,0.00324283,0.008965296,0.095772342,0.015268839,0.00304032,0.121267547,0.117903843,0.002770556,0.000392918,0.20825136,0.20179503,0.162487003,0.000486276,0.128816362,0.058670622,0.253815775,0.50115264,0.051072229,0.021026271,0.070338286,0.022001115,0.170586416,0.006432926,0.161341015,0.008292225,0.008874584,0.007225332,0.009555913,0.004388077,0.04391093,0.662486492,0.167953651,0.049029527,0.077857951,0.10415048,0,,Brazil_drained_floodplain,-28.5523,-48.8076,5.902222222,4,0.368333333,0.78625,1.852954151,2.341771848,3.75694657,2.829071372,0.746616903,1.195369139,0.282924073,1.31692507,1.035037824,2.269512944,1.299216655,21.3,3.147676324
Brazil_floodplain,0.01297762,0.005521575,0.012594257,0.141357467,0.036522411,0.000813608,0.030622322,0.008773067,0.077961009,0.014774989,0.00510994,0.224740267,0.230213791,0.025758996,0.21718042,0.035288875,0.001801301,0.082837262,0.041619225,0.355002827,0.000696861,0.024230525,0.024698757,0.048392082,0.329019297,0.020982181,0.073965174,0.009105671,0.027140424,0,0.142325249,0.015811137,0.003525319,0.126585546,0.018097645,0.008647601,0.126468727,0.153276557,0.001693666,0.005486383,0.158211662,0.177739958,0.16075605,0.009851049,0.17985943,0.075556877,0.252565729,0.481434693,0.039543458,0.019552307,0.069121453,0.029615774,0.081336194,0.000348431,0.129919187,0.016071534,0.006272363,0.00999215,0.010411735,0.003942232,0.048140956,0.43493858,0.214648094,0.010567886,0.019935591,0.069009154,0.006841741,,Brazil_floodplain,-28.5527,-48.8079,6.317777778,1,0.221111111,0.906468889,1.42258984,2.527204419,3.452467949,3.323917073,0.526339277,1.045444686,0.06279083,1.104145551,1.041512299,2.315503864,1.258211452,21.3,3.147676324
Catalonia_transitional_bog,0,0,0,0.015030747,0.001859161,0,0.008470069,0.002811945,0.020058114,0.006815333,0.005325876,0.409690739,0.254909242,0.074532743,0.24586858,0.079935316,0.002805183,0,0.002721401,0.170955632,0,0.0683632,0,0.044892931,0.073764199,0.057036846,0.004661625,0.034519599,0.026802306,0.003969755,0.084073671,0.002040959,0,0.05707107,0.005374121,0,0.04060453,0.033078272,0.001287381,0.00058435,0.045957663,0.214913737,0.028030003,0.000563711,0.026918638,0.077956263,0.329994973,0.565871689,0.041629801,0.022611907,0.027404022,0.016448561,0.008034458,0.001526228,0.323635902,0.000563711,0.06374415,0,0.002468733,0.001575835,0.00938657,0.595875989,0.308664215,0.101778676,0.011316968,0.269715162,0.009615385,,Catalonia_transitional_bog,42.6282,0.7607,4.182222222,4,0.644444444,0.736666667,2.003790723,2.624488362,3.495276,2.216215768,1.122434336,1.144954546,0.205925784,1.52026513,1.337768714,2.065704172,1.162033078,5.4,2.944482672
Colombia_drained_paramo,0.013677635,0.010614803,0.011007841,0.088646822,0.02552441,0.002330513,0.074330838,0.029448881,0.069891484,0.049496444,0.00129014,0.435245944,0.121394645,0.050799157,0.274793205,0.070255439,0.004549891,0.002169551,0.0003232,0.312187743,0.001695677,0.033953913,0.000916878,0.060533749,0.252453029,0.053523125,0.000880725,0.03057126,0.060486264,0.00657036,0.176842337,0.001731797,0.002409426,0.04701384,0.016180073,0.004876283,0.039120698,0.068323439,0.013847106,0.005264804,0.078893348,0.180683677,0.061952982,0.00425513,0.156716913,0.106672242,0.285356476,0.430738118,0.05659376,0.032676224,0.143488909,0.026459997,0.097200132,0.003523629,0.236621836,0.017665577,0.028279937,0.010878449,0.004197886,0.010287,0.038533422,0.629791427,0.247151416,0.137139606,0.075389783,0.261145632,0.047713289,,Colombia_drained_paramo,6.643138,-75.6655,3.941111111,4.888888889,0.725555556,0.747777778,0.745681893,2.230752538,2.164121435,1.777297909,0,1.184186511,0.325196279,1.443905911,1.118449983,2.252853031,1.231016256,11.1,3.369030222
