,Site,N2O,nirK,nirS,nrfA,nosZI,nosZII,Bac-amoA,Arch-amoA,n-damo,comammox
Y001,Iceland_fen_1,-0.37,9.620305099,8.516404574,6.25E+00,7.775948304,8.466887046,5.383270462,5.604408899,6.38914518,5.393525918
Y002,Iceland_fen_1,-1.51,9.048786508,7.870313809,5.42E+00,7.248142729,7.203434722,4.92321482,4.197370785,5.452919841,1
Y003,Iceland_fen_1,1.49,9.531443392,8.367904951,6.11E+00,7.68798843,7.727222554,5.163974942,4.695879842,5.886850989,1
Y004,Iceland_fen_1,0.00,9.894018017,8.840242276,6.15E+00,8.054658655,8.39609714,5.759998357,4.94293026,6.177490298,5.077393892
Y005,Iceland_drained_fen_2,-3.48,9.986993962,7.856065074,5.72E+00,8.398106734,9.57996511,5.400047739,5.6183032,6.164617915,6.346433272
Y006,Iceland_drained_fen_2,0.00,9.037362698,7.382383422,5.11E+00,7.759085625,8.696356145,5.367684443,4.687388126,5.198948602,5.179585019
Y007,Iceland_drained_fen_2,0.56,8.83729075,7.517088566,5.17E+00,7.503949925,9.122689279,4.648437097,6.240135944,5.198977758,5.579586686
Y008,Iceland_drained_fen_2,0.00,9.017976675,7.392964621,4.48E+00,7.539705594,9.210529567,7.559149197,5.654826905,5.213974724,5.677687526
Y009,Iceland_drained_fen,-0.95,9.154071803,8.638751586,5.66E+00,7.687635235,8.310107163,5.230804822,5.827891303,5.854305905,1
Y010,Iceland_drained_fen,0.00,9.218657949,8.386104712,0.00E+00,8.135772019,8.57924154,5.148019586,4.260141756,6.025939179,1
Y011,Iceland_drained_fen,0.00,7.376964742,1,0.00E+00,5.929248792,1,3.663828208,1,3.612179065,1
Y012,Iceland_drained_fen,0.00,7.252612898,5.392359762,0.00E+00,5.661317971,1,3.735978733,2.992673279,1,1
Y013,Iceland_fen,-0.99,8.504180469,7.307842744,3.65E+00,7.8890872,6.959790115,4.979647134,1,5.448667877,1
Y014,Iceland_fen,0.00,1,1,0.00E+00,1,1,1,1,1,1
Y015,Iceland_fen,-0.08,9.21125528,8.085345247,4.81E+00,8.319208019,7.478637281,5.553860535,1,5.831822581,1
