,Bacteria,Archaea,Arch-amoA,Bac-amoA,comammox,nirK,nirS,nrfA,nosZI,nosZII,n.damo,nifH,,,,,,,,,,,,
Y001,10.874604,9.355793,5.604409,5.38327,5.393526,9.620305,8.516405,6.247407,7.775948,8.466887,6.389145,9.678902,,,,,,,,,,,,
Y002,10.359652,9.198732,4.197371,4.923215,1,9.048787,7.870314,5.419971,7.248143,7.203435,5.45292,9.426497,,,,,,,,,,,,
Y003,10.928453,9.779312,4.69588,5.163975,1,9.531443,8.367905,6.107722,7.687988,7.727223,5.886851,9.848127,,,,,,,,,,,,
Y004,11.262796,10.07264,4.94293,5.759998,5.077394,9.894018,8.840242,6.154221,8.054659,8.396097,6.17749,10.400477,,,,,,,,,,,,
Y005,11.438377,9.206186,5.618303,5.400048,6.346433,9.986994,7.856065,5.724601,8.398107,9.579965,6.164618,10.253323,,,,,,,,,,,,
Y006,10.600082,8.239373,4.687388,5.367684,5.179585,9.037363,7.382383,5.111355,7.759086,8.696356,5.198949,9.450072,,,,,,,,,,,,
Y007,10.37149,8.041631,6.240136,4.648437,5.579587,8.837291,7.517089,5.171427,7.50395,9.122689,5.198978,9.196079,,,,,,,,,,,,
Y008,10.474408,8.188995,5.654827,7.559149,5.677688,9.017977,7.392965,4.477506,7.539706,9.21053,5.213975,9.128099,,,,,,,,,,,,
Y009,10.813312,9.671836,5.827891,5.230805,1,9.154072,8.638752,5.661828,7.687635,8.310107,5.854306,9.137187,,,,,,,,,,,,
Y010,10.853174,9.204643,4.260142,5.14802,1,9.218658,8.386105,1,8.135772,8.579242,6.025939,9.439628,,,,,,,,,,,,
Y011,7.909394,6.819941,1,3.663828,1,7.376965,1,1,5.929249,1,3.612179,6.375552,,,,,,,,,,,,
Y012,7.966363,7.158976,2.992673,3.735979,1,7.252613,5.39236,1,5.661318,1,1,6.493442,,,,,,,,,,,,
Y013,10.124969,9.931618,1,4.979647,1,8.50418,7.307843,3.646424,7.889087,6.95979,5.448668,9.186756,,,,,,,,,,,,
Y014,6.405198,6.737774,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,
Y015,10.779128,10.789646,1,5.553861,1,9.211255,8.085345,4.80891,8.319208,7.478637,5.831823,9.650559,,,,,,,,,,,,
Y016,9.474045,10.07757,1,1,1,8.146565,6.863794,3.83358,7.243123,1,4.392177,8.609432,,,,,,,,,,,,
Y017,10.940362,8.698948,1,5.159723,5.177696,9.268526,1,1,7.608995,1,5.866963,8.82859,,,,,,,,,,,,
Y018,10.306618,8.703109,1,4.46784,4.572364,8.656354,6.608366,4.440342,7.073516,1,5.573841,8.573158,,,,,,,,,,,,
Y019,11.162833,9.520521,1,5.072165,5.487695,9.353072,1,5.370724,7.839354,1,6.234135,8.95575,,,,,,,,,,,,
Y020,11.293517,10.140833,8.408325,1,1,9.878358,6.69771,5.743235,8.39305,7.002218,6.969314,10.338843,,,,,,,,,,,,
Y021,11.069728,9.755055,1,6.975373,1,9.753033,1,4.356731,7.832492,8.404806,6.537904,9.883715,,,,,,,,,,,,
Y022,10.978267,9.734467,5.205182,6.457043,1,10.016066,6.833777,4.439273,8.758544,9.003276,6.737857,10.102256,,,,,,,,,,,,
Y023,11.520859,10.441522,7.848581,6.590006,5.609295,10.217359,9.698505,5.71014,8.414886,9.146936,7.292454,10.507963,,,,,,,,,,,,
Y024,11.345562,10.376726,7.945885,6.179091,5.857887,9.999934,9.247185,5.263782,8.289312,8.746642,7.403001,10.325486,,,,,,,,,,,,
Y025,11.513005,10.480862,8.325252,6.328842,5.603357,10.206462,9.601431,5.770124,8.392437,9.257895,7.573092,10.474484,,,,,,,,,,,,
Y026,11.283158,10.430148,8.448266,5.095992,6.080377,9.9576,9.557791,4.164377,8.014754,8.653428,5.905482,10.276027,,,,,,,,,,,,
Y027,11.499023,10.639533,8.974062,5.53374,7.314819,10.300275,9.78245,4.882992,8.349895,9.090186,7.002944,10.612065,,,,,,,,,,,,
Y028,11.390958,10.438452,8.559872,5.265822,6.504754,10.03527,9.642089,5.126292,8.119318,8.72586,6.751501,10.471406,,,,,,,,,,,,
Y032,10.971428,9.785864,7.787281,8.137214,6.171761,9.680485,8.431527,5.848266,8.089622,8.963639,7.279058,9.429317,,,,,,,,,,,,
Y033,10.812942,9.561679,7.18326,7.846819,5.186906,9.375381,7.562876,5.664902,7.886866,8.091944,6.781214,9.421015,,,,,,,,,,,,
Y034,10.847662,9.484845,7.311752,7.669964,5.886079,9.491257,7.670873,5.881515,7.919202,8.71949,7.173131,9.424104,,,,,,,,,,,,
Y035,10.851674,9.664603,6.408434,8.745294,5.435913,9.318628,7.564547,4.819696,7.741714,8.753157,5.49474,9.216843,,,,,,,,,,,,
Y036,10.812531,9.49555,7.42589,8.710775,5.661138,9.456374,7.987522,4.458173,8.100238,8.912541,5.886874,9.342716,,,,,,,,,,,,
Y037,10.874833,9.33679,7.620252,8.125684,5.709818,9.505601,7.566848,5.401491,7.992242,8.936567,5.574276,9.201043,,,,,,,,,,,,
Y038,11.063143,10.014123,5.96536,6.569287,5.361978,9.491237,8.285401,4.398243,7.816013,8.907186,7.421514,9.80293,,,,,,,,,,,,
Y039,11.218482,10.144341,6.145723,6.660659,6.555455,9.643449,8.525866,4.408194,8.055322,8.922792,7.608422,10.043476,,,,,,,,,,,,
Y040,11.249977,9.63519,4.931511,6.233109,5.817532,9.809871,8.347979,4.695493,8.2023,8.765263,7.427801,10.076726,,,,,,,,,,,,
Y041,10.798107,9.794213,6.153811,7.335905,1,9.756106,7.302726,4.127483,7.59549,8.076604,6.009121,8.517198,,,,,,,,,,,,
Y042,10.561398,9.657453,6.327545,7.271139,1,9.517113,7.237954,3.47421,7.345992,7.811528,5.762673,8.20169,,,,,,,,,,,,
Y043,10.508284,9.537422,6.099554,7.634407,5.194584,9.502042,7.030857,3.801125,7.262817,7.749492,5.72465,8.215678,,,,,,,,,,,,
Y044,10.694656,9.475228,7.892427,6.654976,4.786536,9.409058,7.741317,4.352845,7.959995,8.741885,6.242825,8.706154,,,,,,,,,,,,
Y045,10.562386,9.331082,8.019984,6.016668,1,9.312646,7.830299,3.8511,7.92463,8.712428,6.021427,8.377617,,,,,,,,,,,,
Y046,11.360835,9.918838,7.806333,7.398328,6.230137,9.771349,9.069101,6.793253,8.233658,8.26731,6.387324,8.984468,,,,,,,,,,,,
Y047,11.174824,9.958764,7.897299,7.438416,5.834209,9.62207,8.907584,1,8.065122,7.979953,6.290031,8.853466,,,,,,,,,,,,
Y048,11.547005,10.347924,8.31123,7.596108,6.456834,10.193815,9.075186,6.876866,8.536195,8.254478,6.694201,9.127643,,,,,,,,,,,,
Y049,10.805388,9.331383,7.538487,5.898854,6.204867,9.498911,8.420769,5.245725,7.970575,8.019753,6.481489,9.478967,,,,,,,,,,,,
Y050,11.161211,10.020322,7.111963,1,6.833848,9.810211,9.68866,5.555022,8.725034,8.957554,5.962979,10.06333,,,,,,,,,,,,
Y051,11.558326,10.559672,7.959698,5.87545,5.501307,10.021545,9.786659,5.959025,7.96333,9.305525,6.935853,9.67343,,,,,,,,,,,,
Y052,11.315714,10.374957,8.602071,5.438276,6.145882,9.828861,9.098697,3.87985,8.944398,8.986872,7.120467,10.114007,,,,,,,,,,,,
Y053,10.688622,9.669842,6.91736,5.097325,5.342822,9.298547,7.252978,5.851672,7.396005,8.441179,5.402137,9.785964,,,,,,,,,,,,
Y054,10.671644,9.664539,6.308818,5.303458,1,9.338316,1,5.549303,7.164234,8.297259,5.432937,9.700564,,,,,,,,,,,,
Y055,11.090835,10.662479,8.210942,5.800905,5.106264,9.077953,8.066273,5.078254,8.516147,8.604666,5.898023,9.887875,,,,,,,,,,,,
Y056,11.021618,10.434323,8.482549,6.013957,5.037139,9.514629,8.068671,5.694414,8.783474,8.978689,6.714574,9.895909,,,,,,,,,,,,
Y057,11.488333,10.531043,9.043454,6.603958,5.279514,10.079471,8.598069,5.434032,7.971023,8.834054,5.942857,9.996997,,,,,,,,,,,,
Y058,11.207812,10.317056,8.531017,5.800592,5.046898,9.624792,7.616946,5.111872,8.372242,8.363591,6.859504,9.98145,,,,,,,,,,,,
Y059,11.233883,10.239935,8.360805,6.066296,4.987822,9.609534,7.800775,5.362602,9.207784,8.40047,6.359479,10.260838,,,,,,,,,,,,
Y060,11.463376,10.638709,8.59366,7.021865,5.206723,9.721801,9.009977,6.094932,8.116367,9.135869,7.338788,10.262118,,,,,,,,,,,,
Y061,11.779508,10.145343,6.96534,7.678366,6.883211,10.360427,9.781321,6.106722,9.191496,9.801741,7.008919,10.023098,,,,,,,,,,,,
Y062,11.238179,10.614901,8.243839,7.554685,6.216791,9.526402,8.880408,5.524798,8.494077,8.857522,7.041312,10.172414,,,,,,,,,,,,
Y063,10.240998,7.14555,3.77305,1,1,9.044892,1,1,1,1,5.218653,8.924051,,,,,,,,,,,,
