,AamoA/nir,N2O,Latitude,Longitude,Land_use
Y001,0.309008537,-0.37,64.34564,-15.492474,Fen
Y002,0.248068469,-1.51,64.34564,-15.492474,Fen
Y003,0.262344324,1.49,64.34564,-15.492474,Fen
Y004,0.263841791,0.00,64.34564,-15.492474,Fen
Y005,0.314872733,-3.48,64.28728,-15.462056,Pasture
Y006,0.285467206,0.00,64.28728,-15.462056,Pasture
Y007,0.381557342,0.56,64.28728,-15.462056,Pasture
Y008,0.344576052,0.00,64.28728,-15.462056,Pasture
Y009,0.32754132,-0.95,64.8331,-22.916,Pasture
Y010,0.241974483,0.00,64.8331,-22.916,Pasture
Y011,0,0.00,64.8331,-22.916,Pasture
Y012,0.236318621,0.00,64.8331,-22.916,Pasture
Y013,0,-0.99,64.8332,-22.916,Fen
Y014,,0.00,64.8332,-22.916,Fen
Y015,0,-0.08,64.8332,-22.916,Fen
Y016,0,-0.60,64.8332,-22.916,Fen
Y017,0,0.00,47.2591,25.3574,Bog
Y018,0,-0.01,47.2591,25.3574,Bog
Y019,0,0.18,47.2591,25.3574,Bog
Y020,0.507256958,1.28,47.26,25.3574,Forest
Y021,0,0.12,47.26,25.3574,Forest
Y022,0.308914164,-0.37,47.26,25.3574,Forest
Y023,0.394086897,20.69,-28.5523,-48.8076,Pasture
Y024,0.412835038,16.33,-28.5523,-48.8076,Pasture
Y025,0.420299712,3.64,-28.5523,-48.8076,Pasture
Y026,0.432902713,13.71,-28.5527,-48.8079,Fen
Y027,0.446854829,0.01,-28.5527,-48.8079,Fen
Y028,0.435011236,-0.22,-28.5527,-48.8079,Fen
Y032,0.429951158,19.78,45.1189,-74.2039,Arable
Y033,0.424084943,112.32,45.1189,-74.2039,Arable
Y034,0.42603989,58.73,45.1189,-74.2039,Arable
Y035,0.379575072,31.94,55.4491,55.4865,Hay_field
Y036,0.425701367,4.73,55.4491,55.4865,Hay_field
Y037,0.44634792,6.45,55.4491,55.4865,Hay_field
Y038,0.335572715,0.53,55.4804,55.9943,Fen
Y039,0.338247184,-0.12,55.4804,55.9943,Fen
Y040,0.271588353,-0.54,55.4804,55.9943,Fen
Y041,0.360740291,78.70,55.4337,55.4497,Hay_field
Y042,0.377649521,135.52,55.4337,55.4497,Hay_field
Y043,0.368934155,206.05,55.4337,55.4497,Hay_field
Y044,0.460189765,2.37,55.5476,55.598,Peat_extraction
Y045,0.467830003,4.64,55.5476,55.598,Peat_extraction
Y046,0.414338965,13.63,58.4236,26.5123,Hay_field
Y047,0.426197863,33.58,58.4236,26.5123,Hay_field
Y048,0.431326499,177.04,58.4236,26.5123,Hay_field
Y049,0.420682017,4.57,26.38,-81.58,Forest
Y050,0.364737148,14.02,26.38,-81.58,Forest
Y051,0.401838429,19.20,26.38,-81.58,Forest
Y052,0.454473391,28.06,26.38,-81.58,Forest
Y053,0.417928834,1.15,47.32,2.23,Bog
Y054,0.675583857,-0.43,47.32,2.23,Bog
Y055,0.478933365,688.78,-1.1202,29.8957,Arable
Y056,0.482420739,203.07,-1.341695,30.025882,Pasture
Y057,0.484188709,193.90,-1.341695,30.025882,Pasture
Y058,0.494788709,29.11,-1.342,30.0253,Pasture
Y059,0.4802215,-0.54,-1.342,30.0253,Pasture
Y060,0.45877439,239.69,-1.1202,29.8957,Arable
Y061,0.345816056,146.70,-1.341695,30.025882,Pasture
Y062,0.447868945,254.97,-1.341695,30.025882,Pasture
Y063,0.417066069,0.00,60.89,68.7,Forest
Y064,0.185301854,-1.19,60.89,68.7,Forest
Y065,0.383837702,0.10,60.88,68.7,Bog
Y066,0.364941867,-0.93,60.88,68.7,Bog
Y067,0,0.00,60.89,68.7,Forest
Y068,0.269696961,0.00,60.88,68.7,Bog
Y069,0,0.00,60.89,68.7,Forest
Y070,0.355186642,0.20,60.91,68.7,Fen
Y071,0.302012828,0.00,60.91,68.7,Fen
Y072,0.425978198,-0.55,47.31,2.23,Bog
Y073,0.390333219,0.27,47.31,2.23,Bog
Y074,0.437610974,2.53,58.4142,26.4839,Fen
Y075,0.429740415,26.66,58.4142,26.4839,Fen
Y076,0.380066348,0.00,58.4142,26.4839,Fen
Y077,0.429623666,0.00,26.39,-81.58,Forest
Y078,0.377988883,3.67,26.39,-81.58,Forest
Y079,0.430251653,0.00,26.39,-81.58,Forest
Y080,0.447416371,0.00,26.39,-81.58,Forest
Y081,0.4567853,1.33,-42.881,146.3799,Bog
Y082,0,-1.03,-42.881,146.3799,Bog
Y083,0,0.00,-42.881,146.3799,Bog
Y084,0.382640381,8.31,-40.866502,145.0653902,Pasture
Y085,0.377865188,10.48,-40.866502,145.0653902,Arable
Y086,0.413976358,0.98,-40.9234,144.8726,Fen
Y087,0.549388316,2.31,-42.1744,146.5762,Peat_extraction
Y088,0.403732677,-2.86,-42.1744,146.5762,Peat_extraction
Y089,0.298655544,0.00,-42.176794,146.580454,Bog
