Y,Bacteria;Acidobacteria,Bacteria;Proteobacteria;Alphaproteobacteria,Bacteria;Actinobacteria,Bacteria;Proteobacteria;Deltaproteobacteria,Bacteria;Chloroflexi,Bacteria;Proteobacteria;Betaproteobacteria,Bacteria;Proteobacteria;Gammaproteobacteria,Bacteria;Planctomycetes,Bacteria;Verrucomicrobia,Bacteria;Bacteroidetes,Archaea;Euryarchaeota,Bacteria;Nitrospirae,Bacteria;Firmicutes,Bacteria;Gemmatimonadetes,Bacteria;Parcubacteria,Bacteria;Spirochaetae,Bacteria;Ignavibacteriae,Eukaryota;Ascomycota,Bacteria;Microgenomates,Bacteria;Chlamydiae,Archaea;Bathyarchaeota,Archaea;Thaumarchaeota,Bacteria;Latescibacteria,Bacteria;Saccharibacteria,Eukaryota;Basidiomycota,,
Bashkortostan_drained_fen,0.347609836,0.308061843,0.36702757,0.288241975,0.364858405,0.325057494,0.211810952,0.182751231,0.120513201,0.198334928,0.026562978,0.128082043,0.086754324,0.195347786,0.102877973,0.061821967,0.071932885,0.071523008,0.075131448,0.04788709,0.064155688,0.064155688,0.105418552,0.062295706,0.026562978,,
Bashkortostan_drained_floodplain_1,0.39531744,0.385392203,0.38677107,0.263856501,0.281324545,0.274406105,0.218752905,0.169724309,0.171285424,0.161875615,0.089360677,0.089029097,0.119889929,0.186970594,0.054383176,0.03076377,0.028776872,0.081029108,0.055990907,0.068789881,0.065259812,0.015381885,0.063885767,0.097283583,0.020348321,,
Bashkortostan_drained_floodplain_2,0.305733986,0.357187365,0.372249947,0.225832522,0.316797686,0.304659346,0.202071918,0.124815377,0.132464096,0.199211302,0.115252087,0.061414399,0.139106458,0.216186574,0.148789805,0.05122315,0.087792056,0.05122315,0.070140187,0.047914869,0.104034709,0.012805787,0.028634611,0.147683546,0.078940176,,
Bashkortostan_fen,0.203372043,0.274175736,0.247761185,0.30647497,0.371978398,0.325724115,0.231031249,0.201373954,0.130614374,0.281863425,0.057213508,0.072635578,0.135959554,0.094113739,0.133674356,0.104395632,0.124886824,0.027049915,0.145271155,0.051920412,0.067124651,0.021497093,0.080912118,0.071297791,0.013876314,,
Borneo_drained_swamp,0.423406869,0.420867252,0.388028109,0.13762211,0.046943505,0.063170171,0.183604308,0.148448398,0.133893008,0.046943505,0.403970762,0.015434929,0.17699766,0.029889612,0.03274243,0.007717465,0.007717465,0.048195552,0.021828287,0.057752218,0.010914143,0.29204257,0,0.059278971,0.021828287,,
Borneo_swamp_forest,0.518673859,0.39839326,0.36970481,0.168351879,0.033135285,0.09640669,0.228676457,0.162643367,0.153932551,0.056720722,0.37015346,0.010106167,0.143546711,0.047670695,0.039465844,0.030318501,0,0.09876161,0.020834397,0.055813132,0.011299038,0.196356351,0.007146139,0.046035782,0.051778698,,
Brazil_drained_floodplain,0.34912144,0.364079634,0.229151785,0.434696777,0.29787802,0.258495613,0.251480858,0.208880398,0.120949778,0.11719432,0.065908555,0.232060446,0.107231798,0.101414551,0.089001675,0.075824331,0.095242658,0.073253264,0.057078483,0.052410893,0.083061394,0.046604386,0.120420455,0.036626632,0.015985173,,
Brazil_floodplain,0.249535651,0.385697921,0.307299511,0.445712681,0.289507224,0.227265229,0.2513879,0.208578893,0.095247913,0.151623516,0.051772699,0.225671963,0.126409578,0.123522192,0.07251022,0.066580701,0.089672945,0.030460385,0.06421613,0.066580701,0.0497416,0.061761096,0.108883746,0.014359163,0.014359163,,
California_drained_fen,0.333586767,0.373157381,0.354668639,0.31574636,0.319064277,0.233763659,0.223004189,0.195909492,0.141040233,0.168624895,0.057239729,0.127991926,0.130705837,0.230994148,0.071753798,0.061191845,0.110315167,0.050737597,0.076489806,0.083790384,0.059248749,0.055157583,0.107630697,0.067553967,0.018736099,,
California_fen,0.36561237,0.250456026,0.220257354,0.339919288,0.325614863,0.374075107,0.208078874,0.195475691,0.196473872,0.17911275,0.061497569,0.238452672,0.061497569,0.137037742,0.12561793,0.089191582,0.103410794,0.025535476,0.055945424,0.04708509,0.048450158,0.082349434,0.116459687,0.039559389,0,,
Catalonia_transitional_bog,0.509114255,0.418230066,0.318467274,0.196542012,0.129960117,0.186052102,0.198868034,0.226762882,0.224725771,0.159430424,0,0.020446521,0.09189568,0.041902898,0.117456318,0.018287924,0.012931515,0.235268295,0.05172606,0.084303164,0.009143962,0.024192649,0.020446521,0.073151696,0.049241742,,
Colombia_drained_paramo,0.521280856,0.369817353,0.197136442,0.312526509,0.280364862,0.217152091,0.110753881,0.244000189,0.228554983,0.11842393,0.116471753,0.137811237,0.135856369,0.058317841,0.101763277,0.140284617,0.123478938,0.049065554,0.064538622,0.075203369,0.079164115,0.024726715,0.041926186,0.023129724,0.016355185,,
Colombia_paramo,0.522292141,0.418631509,0.211212304,0.250202575,0.178904148,0.200673517,0.215501939,0.254040102,0.229031473,0.110860959,0.126710874,0.068986704,0.150483418,0.047970146,0.068224396,0.104548509,0.069740679,0.086781259,0.046867236,0.093174859,0.065884574,0.051645179,0.01771415,0.026074523,0.033140141,,
Estonia_drained_floodplain,0.372914692,0.306869903,0.497203815,0.292742464,0.255947192,0.293464989,0.156283969,0.215848159,0.150766314,0.134954147,0,0.207850988,0.088917121,0.126865579,0.079707215,0.016803756,0.041160629,0.020580314,0.0475282,0.044458561,0.01188205,0.063986798,0.095056401,0.042841341,0.020580314,,
Estonia_floodplain,0.334479521,0.370442825,0.330612576,0.337894757,0.293526494,0.300637698,0.223123612,0.196646824,0.180066632,0.18285068,0.102328902,0.150928664,0.126057573,0.099137458,0.093903441,0.083551199,0.085184276,0.0977378,0.074237188,0.064291291,0.080185328,0.038335919,0.076671838,0.04695172,0.01659994,,
Finland_drained_fen,0.458224582,0.362774679,0.296722955,0.220034669,0.178070443,0.177950839,0.235188162,0.183874343,0.257927549,0.149469513,0.075537617,0.089789266,0.0901836,0.034734393,0.127872305,0.115077674,0.090497829,0.249678657,0.058365455,0.086405846,0.039333582,0.043774091,0.022288676,0.089551833,0.09924988,,
Finland_fen,0.241354378,0.171771772,0.169323593,0.367046887,0.403436827,0.176135849,0.122498245,0.21554545,0.199511017,0.243598127,0.238665843,0.096237219,0.123424327,0.040556382,0.150239783,0.163546033,0.132520253,0.042979757,0.116026806,0.052034862,0.140671429,0.066735798,0.07461289,0.034851634,0.02134218,,
Florida_restored_wetland_dry,0.282768113,0.320863813,0.296605266,0.291945316,0.38811456,0.2740538,0.173083234,0.290496447,0.104739983,0.146693515,0.122388329,0.104739983,0.150245931,0.13152786,0.099577165,0.035578403,0.048173386,0.029049645,0.091863042,0.063312233,0.020541201,0.09524563,0.075473191,0.058099289,0.02515773,,
Florida_restored_wetland_wet,0.215951548,0.277770405,0.161156954,0.346410162,0.294338362,0.340615557,0.233254331,0.202823669,0.14956493,0.183178881,0.211068148,0.17251966,0.153937268,0.094392545,0.127684445,0.116016015,0.098327242,0.030787454,0.071543577,0.109284619,0.075413552,0.033725966,0.087080069,0.041305703,0.030787454,,
Florida_swamp_forest_1,0.354227836,0.394313093,0.4119068,0.303642193,0.278331871,0.251563577,0.198191496,0.237048592,0.145864991,0.132127664,0.119098267,0.127932061,0.090461628,0.099095748,0.101811203,0.046714184,0.066063832,0.033031916,0.07746671,0.096303757,0.057212957,0.04045567,0.057212957,0.084215192,0.052228045,,
Florida_swamp_forest_2,0.363628847,0.368597575,0.30522263,0.32937143,0.278463948,0.279320458,0.198113183,0.224300103,0.163341319,0.146247766,0.114541234,0.189775781,0.075958709,0.146247766,0.110790107,0.104999777,0.095081342,0.03687471,0.056218205,0.069119315,0.097937272,0.0669588,0.09488789,0.057829368,0.018186495,,
Florida_tomato_field,0.334225794,0.398388173,0.46925111,0.260610406,0.19327385,0.235765443,0.233480102,0.257852546,0.172247925,0.176855666,0.100933976,0.104415476,0.13699181,0.100044673,0.040107095,0.013369032,0.018906666,0.077954181,0.048202729,0.062706317,0.013369032,0.044340062,0.023155842,0.075626664,0.029894064,,
France_transitional_bog_1,0.500581508,0.433292552,0.284047003,0.21931553,0.048242985,0.173942555,0.160003879,0.286765218,0.213943722,0.114841274,0.062281425,0.073692376,0.162410087,0,0.092378283,0.0557062,0.039390232,0.20467765,0.039390232,0.124562851,0.048242985,0.078780464,0,0.078780464,0.0557062,,
France_transitional_bog_2,0.54960392,0.414339147,0.26880556,0.267116004,0.08721204,0.15343466,0.155777309,0.292053391,0.237318718,0.080742659,0.061668225,0.117316364,0.108494688,0.04037133,0.079613336,0.050351895,0.038062455,0.14177945,0.023308398,0.107656879,0.058658182,0.090273037,0,0.057093682,0.044632184,,
French_Pyrenees_fen,0.436479756,0.401863187,0.206699559,0.288849613,0.232690425,0.313175241,0.239518977,0.211835735,0.217468982,0.165148263,0.096283204,0.161861401,0.106864991,0.020076436,0.108114916,0.127502493,0.059103427,0.063487265,0.081961707,0.095582954,0.063487265,0.030667262,0.049177024,0.049177024,0.023182271,,
Iceland_drained_fen,0.47168557,0.303709048,0.261503774,0.29223409,0.320027034,0.282268618,0.191252734,0.15289821,0.232532249,0.126737291,0.06907237,0.226644401,0.057790091,0.099297789,0.121614458,0.079757903,0.1106596,0.048841542,0.087370406,0.063054159,0.076708695,0.056397354,0.048841542,0.080748723,0.035668819,,
Iceland_drained_fen_2,0.364331998,0.320349885,0.418865601,0.264109156,0.258972562,0.319094784,0.16090851,0.200059311,0.180046597,0.20984892,0.019591758,0.085398492,0.115906402,0.142874589,0.107145765,0.020462924,0.022878244,0.044987417,0.07234736,0.090939222,0,0.008353954,0.041349961,0.081209711,0.031257632,,
Iceland_fen_1,0.350314665,0.293533251,0.31221069,0.291946963,0.341898567,0.328292688,0.144556759,0.135512835,0.215492493,0.222338284,0.084465461,0.192632801,0.093027796,0.085951771,0.149721119,0.069676243,0.116771555,0.053970985,0.123620384,0.049482291,0.062994079,0.012994686,0.059549133,0.076877601,0.030475241,,
Khabarovsk_drained_fen,0.479053625,0.319234754,0.376649047,0.188452592,0.417712449,0.108507091,0.128086296,0.194500732,0.299584735,0.079808688,0.036757183,0.060557788,0.169584571,0.133978366,0.081008886,0.013892909,0,0.04812645,0.036757183,0.034030539,0.027785819,0.081008886,0,0.027785819,0.034030539,,
Khabarovsk_fen,0.413000339,0.302039849,0.25819889,0.298222446,0.349107604,0.27937837,0.156263202,0.158988929,0.208312745,0.221636655,0.140837859,0.155574309,0.113215541,0.103293422,0.158311897,0.107038378,0.109681699,0.064998829,0.101545522,0.038778337,0.083342284,0.014656834,0.068223848,0.05484085,0.035901764,,
Kyrgyzstan_drained_fen,0.366688737,0.415584653,0.32735462,0.319878886,0.280426631,0.335271605,0.197132339,0.187329087,0.156356603,0.186784525,0.023669656,0.133705467,0.105129712,0.117700975,0.126058723,0.033473949,0.068452533,0.033473949,0.074850025,0.043410668,0.02141001,0.022568132,0.060134649,0.064625294,0.015958079,,
Kyrgyzstan_fen_1,0.281572539,0.281893368,0.360667563,0.293341566,0.330397866,0.396416206,0.219521433,0.162777656,0.183439694,0.227437244,0.047671898,0.117762835,0.097883179,0.084578698,0.112491355,0.054020715,0.105624091,0.08961925,0.094527715,0.041596665,0.052812045,0.008802008,0.091895657,0.084578698,0.008802008,,
Kyrgyzstan_fen_2,0.261259932,0.253491923,0.342786567,0.309331092,0.348368951,0.326433917,0.226761007,0.194811694,0.198203082,0.272303913,0.133222215,0.075844364,0.143611776,0.064334273,0.091367106,0.094015977,0.136345034,0.008375609,0.087041881,0.041878044,0.062677318,0.016751218,0.083756089,0.058027921,0.0118449,,
Mexico_chinampa_1,0.358555068,0.349815807,0.417711264,0.229668512,0.270449272,0.243730755,0.255120558,0.232421329,0.11593669,0.184981388,0.041694925,0.132332432,0.132172126,0.255701605,0.097674799,0.013023307,0.047405551,0.072510702,0.062117213,0.045581573,0,0.109349253,0.042699766,0.073670947,0.029840144,,
Mexico_chinampa_2,0.327464131,0.352394537,0.387547398,0.247151926,0.281439018,0.258761557,0.265167515,0.238161555,0.123575963,0.186379645,0.034273805,0.143084708,0.107606338,0.210083131,0.137705894,0.022437473,0.060760963,0.054960359,0.073280479,0.064771404,0.012954281,0.10915471,0.063462756,0.076638559,0,,
