,Site,Latitude,N2O,Archaeal_amoA,nir,,,,
Y001,Iceland_fen_1,64.34564,-0.37,4.02E+05,4.50E+09,,,,
Y002,Iceland_fen_1,64.34564,-1.51,1.57E+04,1.19E+09,,,,
Y003,Iceland_fen_1,64.34564,1.49,4.96E+04,3.63E+09,,,,
Y004,Iceland_fen_1,64.34564,0.00,8.77E+04,8.53E+09,,,,
Y005,Iceland_drained_fen_2,64.28728,-3.48,4.15E+05,9.78E+09,,,,
Y006,Iceland_drained_fen_2,64.28728,0.00,4.87E+04,1.11E+09,,,,
Y007,Iceland_drained_fen_2,64.28728,0.56,1.74E+06,7.20E+08,,,,
Y008,Iceland_drained_fen_2,64.28728,0.00,4.52E+05,1.07E+09,,,,
Y009,Iceland_drained_fen,64.8332,-0.95,6.73E+05,1.86E+09,,,,
Y010,Iceland_drained_fen,64.8332,0.00,1.82E+04,1.90E+09,,,,
Y011,Iceland_drained_fen,64.8332,0.00,0.00E+00,2.38E+07,,,,
Y012,Iceland_drained_fen,64.8332,0.00,9.73E+02,1.81E+07,,,,
Y013,Iceland_drained_fen,64.8332,-0.99,0.00E+00,3.40E+08,,,,
Y014,Iceland_drained_fen,64.8332,0.00,0.00E+00,0.00E+00,,,,
Y015,Iceland_drained_fen,64.8332,-0.08,0.00E+00,1.75E+09,,,,
Y016,Iceland_drained_fen,64.8332,-0.60,0.00E+00,1.47E+08,,,,
Y017,Romania_bog_1,47.2591,0.00,0.00E+00,1.86E+09,,,,
Y018,Romania_bog_1,47.2591,-0.01,0.00E+00,4.57E+08,,,,
Y019,Romania_bog_1,47.2591,0.18,0.00E+00,2.25E+09,,,,
Y020,Romania_bog_forest_1,47.2591,1.28,2.56E+08,7.56E+09,,,,
Y021,Romania_bog_forest_1,47.2591,0.12,0.00E+00,5.66E+09,,,,
Y022,Romania_bog_forest_1,47.2591,-0.37,1.60E+05,1.04E+10,,,,
Y023,Brazil_drained_floodplain,28.5523,20.69,7.06E+07,2.15E+10,,,,
Y024,Brazil_drained_floodplain,28.5523,16.33,8.83E+07,1.18E+10,,,,
Y025,Brazil_drained_floodplain,28.5523,3.64,2.11E+08,2.01E+10,,,,
Y026,Brazil_floodplain,28.5527,13.71,2.81E+08,1.27E+10,,,,
Y027,Brazil_floodplain,28.5527,0.01,9.42E+08,2.60E+10,,,,
Y028,Brazil_floodplain,28.5527,-0.22,3.63E+08,1.52E+10,,,,
Y032,Quebec_drained_bog,45.1189,19.78,6.13E+07,5.06E+09,,,,
Y033,Quebec_drained_bog,45.1189,112.32,1.52E+07,2.41E+09,,,,
Y034,Quebec_drained_bog,45.1189,58.73,2.05E+07,3.15E+09,,,,
Y035,Bashkortostan_drained_floodplain_1,55.4491,31.94,2.56E+06,2.12E+09,,,,
Y036,Bashkortostan_drained_floodplain_1,55.4491,4.73,2.67E+07,2.96E+09,,,,
Y037,Bashkortostan_drained_floodplain_1,55.4491,6.45,4.17E+07,3.24E+09,,,,
Y038,Bashkortostan_fen,55.4804,0.53,9.23E+05,3.29E+09,,,,
Y039,Bashkortostan_fen,55.4804,-0.12,1.40E+06,4.74E+09,,,,
Y040,Bashkortostan_fen,55.4804,-0.54,8.54E+04,6.68E+09,,,,
Y041,Bashkortostan_drained_floodplain_2,55.4337,78.70,1.42E+06,5.72E+09,,,,
Y042,Bashkortostan_drained_floodplain_2,55.4337,135.52,2.13E+06,3.31E+09,,,,
Y043,Bashkortostan_drained_floodplain_2,55.4337,206.05,1.26E+06,3.19E+09,,,,
