,Site,N2O,ENOG411114F,
Y1,Iceland_fen_1,-0.37,0,
Y2,Iceland_fen_1,-1.51,0,
Y3,Iceland_fen_1,1.49,0,
Y4,Iceland_fen_1,0.00,0,
Y5,Iceland_drained_fen_2,-3.48,0,
Y6,Iceland_drained_fen_2,0.00,0,
Y7,Iceland_drained_fen_2,0.56,0,
Y8,Iceland_drained_fen_2,0.00,0.004411154,
Y9,Iceland_drained_fen,-0.95,0,
Y10,Iceland_drained_fen,0.00,0,
Y11,Iceland_drained_fen,0.00,0,
Y12,Iceland_drained_fen,0.00,0,
Y13,Iceland_drained_fen,-0.99,0,
Y14,Iceland_drained_fen,0.00,0,
Y15,Iceland_drained_fen,-0.08,0,
Y16,Iceland_drained_fen,-0.60,0,
Y17,Romania_bog_1,0.00,0,
Y18,Romania_bog_1,-0.01,0,
Y19,Romania_bog_1,0.18,0,
Y20,Romania_bog_forest_1,1.28,0,
Y21,Romania_bog_forest_1,0.12,0,
Y22,Romania_bog_forest_1,-0.37,0.008617648,
Y23,Brazil_drained_floodplain,20.69,0.009115552,
Y24,Brazil_drained_floodplain,16.33,0,
Y25,Brazil_drained_floodplain,3.64,0.008499729,
Y26,Brazil_floodplain,13.71,0,
Y27,Brazil_floodplain,0.01,0.014900499,
Y28,Brazil_floodplain,-0.22,0.012501526,
Y32,Quebec_drained_bog,19.78,0.016341484,
Y33,Quebec_drained_bog,112.32,0.013777712,
Y34,Quebec_drained_bog,58.73,0.012446151,
Y35,Bashkortostan_drained_floodplain_1,31.94,0.003972604,
Y36,Bashkortostan_drained_floodplain_1,4.73,0.004838858,
Y37,Bashkortostan_drained_floodplain_1,6.45,0,
Y38,Bashkortostan_fen,0.53,0,
Y39,Bashkortostan_fen,-0.12,0,
Y40,Bashkortostan_fen,-0.54,0,
Y41,Bashkortostan_drained_floodplain_2,78.70,0,
Y42,Bashkortostan_drained_floodplain_2,135.52,0,
Y43,Bashkortostan_drained_floodplain_2,206.05,0,
Y44,Bashkortostan_drained_fen,2.37,0.010322102,
Y45,Bashkortostan_drained_fen,4.64,0.01525033,
Y46,Estonia_drained_floodplain,13.63,0.008575245,
Y47,Estonia_drained_floodplain,33.58,0.017407766,
Y48,Estonia_drained_floodplain,177.04,0.017857143,
Y49,Florida_swamp_forest_1,4.57,0,
Y50,Florida_swamp_forest_1,14.02,0,
Y51,Florida_swamp_forest_1,19.20,0.011545466,
Y52,Florida_swamp_forest_1,28.06,0.014053873,
Y53,France_transitional_bog_1,1.15,0,
Y54,France_transitional_bog_1,-0.43,0,
Y55,Uganda_drained_fen_1,688.78,0.009421811,
Y56,Uganda_drained_fen_2,203.07,0.014751145,
Y57,Uganda_drained_fen_2,193.90,0.020056236,
Y58,Uganda_fen,29.11,0.009487782,
Y59,Uganda_fen,-0.54,0.008126725,
Y60,Uganda_drained_fen_1,239.69,0.007227111,
Y61,Uganda_drained_fen_2,146.70,0,
Y62,Uganda_drained_fen_2,254.97,0.007396289,
Y63,Siberia_bog_forest,0.00,0,
Y64,Siberia_bog_forest,-1.19,0,
Y65,Siberia_bog,0.10,0,
Y66,Siberia_bog,-0.93,0,
Y67,Siberia_bog_forest,0.00,0,
Y68,Siberia_bog,0.00,0,
Y69,Siberia_bog_forest,0.00,0,
Y70,Siberia_fen,0.20,0,
Y71,Siberia_fen,0.00,0,
Y72,France_transitional_bog_2,-0.55,0,
Y73,France_transitional_bog_2,0.27,0,
Y74,Estonia_floodplain,2.53,0.009238097,
Y75,Estonia_floodplain,26.66,0,
Y76,Estonia_floodplain,0.00,0.004354746,
Y77,Florida_swamp_forest_2,0.00,0,
Y78,Florida_swamp_forest_2,3.67,0.006931379,
Y79,Florida_swamp_forest_2,0.00,0.011238151,
Y80,Florida_swamp_forest_2,0.00,0.012327346,
Y81,Tasmania_blanket_bog,1.33,0,
Y82,Tasmania_blanket_bog,-1.03,0,
Y83,Tasmania_blanket_bog,0.00,0,
Y84,Tasmania_drained_fen_1,8.31,0,
Y85,Tasmania_drained_fen_2,10.48,0.023877299,
Y86,Tasmania_fen,0.98,0.00481862,
Y87,Tasmania_raised_bog,2.31,0,
Y88,Tasmania_raised_bog,-2.86,0.006270116,
Y89,Tasmania_raised_bog,0.00,0,
Y90,New_Zealand_drained_fen_1,74.59,0.023421066,
Y91,New_Zealand_fen_1,1.02,0,
Y92,New_Zealand_fen_2,5.18,0,
Y93,New_Zealand_fen_2,0.67,0.006785238,
Y94,Romania_bog_forest_2,11.06,0,
Y95,Romania_bog_2,0.42,0,
Y96,Romania_bog_2,-0.22,0,
Y97,Romania_bog_2,-0.14,0,
Y98,Romania_bog_forest_2,-0.95,0,
Y99,Romania_bog_forest_2,0.49,0,
Y100,California_fen,0.47,0.015230052,
Y101,California_drained_fen,69.85,0.015499516,
Y102,French_Pyrenees_fen,27.66,0,
Y103,Catalonia_transitional_bog,0.00,0,
Y104,Catalonia_transitional_bog,0.00,0,
Y105,Catalonia_transitional_bog,18.90,0,
Y106,Wales_fen,0.00,0,
Y107,Wales_fen,0.00,0,
Y108,Wales_blanket_bog,0.00,0.012688506,
Y109,Wales_blanket_bog,0.00,0.009019049,
Y110,Wales_drained_bog,0.00,0,
Y111,Wales_drained_bog,0.00,0,
Y112,Tierra_del_Fuego_fen,0.00,0,
Y113,Tierra_del_Fuego_fen,0.00,0,
Y114,Tierra_del_Fuego_fen,0.00,0,
Y115,Tierra_del_Fuego_fen,0.00,0,
Y116,Tierra_del_Fuego_fen,0.00,0,
Y117,Tierra_del_Fuego_bog,7.40,0.010904892,
Y118,Tierra_del_Fuego_bog,-0.69,0,
Y119,Tierra_del_Fuego_bog,0.00,0,
Y120,Tierra_del_Fuego_bog,0.73,0,
Y121,Tierra_del_Fuego_bog,0.00,0,
Y122,Mexico_chinampa_1,13.70,0.023051729,
Y123,Mexico_chinampa_1,27.66,0.025314891,
Y124,Mexico_chinampa_2,98.33,0.027050749,
Y125,Mexico_chinampa_2,11.25,0.015440448,
Y126,Mexico_chinampa_2,6.53,0.024961029,
Y127,Mexico_chinampa_1,29.28,0.021023533,
Y128,Mexico_fen,12.28,0.011698507,
Y129,Mexico_fen,0.00,0,
Y130,Mexico_fen,-0.15,0.004960794,
Y131,Morocco_bog_1,-2.02,0,
Y132,Morocco_bog_2,-0.77,0.014001977,
Y133,Colombia_paramo,0.00,0,
Y134,Colombia_paramo,0.00,0,
Y135,Colombia_paramo,0.49,0,
Y136,Colombia_drained_paramo,-0.67,0,
Y137,Colombia_drained_paramo,0.64,0,
Y138,Colombia_drained_paramo,-1.71,0,
Y139,Pantanal_pasture_1,-0.32,0,
Y140,Pantanal_pasture_1,-0.19,0,
Y141,Pantanal_pasture_2,-0.38,0.003945569,
Y142,Pantanal_pasture_2,0.00,0.004522006,
Y143,Pantanal_pasture_3,55.64,0.003709892,
Y144,Pantanal_pasture_3,32.56,0,
Y145,Pantanal_swamp_forest,-0.43,0,
Y146,Pantanal_swamp_forest,0.00,0,
Y146B,Khabarovsk_fen,0.00,0,
Y147,Khabarovsk_drained_fen,0.00,0.006528979,
Y148,Kyrgyzstan_drained_fen,2.96,0,
Y149,Kyrgyzstan_drained_fen,-1.80,0.006528909,
Y150,Kyrgyzstan_fen_1,-0.62,0,
Y151,Kyrgyzstan_fen_1,0.00,0,
Y152,Kyrgyzstan_fen_2,0.18,0,
Y153,Kyrgyzstan_fen_2,0.00,0,
Y154,Myanmar_drained_fen_1,76.71,0,
Y155,Myanmar_drained_fen_1,212.98,0.013196793,
Y156,Myanmar_drained_fen_2,66.31,0.006884299,
Y157,Myanmar_drained_fen_1,153.89,0.017575767,
Y158,Myanmar_drained_fen_2,-0.28,0.015224864,
Y159,Myanmar_fen,0.00,0.011130812,
Y160,Myanmar_drained_fen_2,68.02,0.019548309,
Y161,Myanmar_drained_fen_1,88.00,0.018234376,
Y162,Myanmar_fen,8.05,0,
Y163,Borneo_drained_swamp,446.46,0.01603957,
Y164,Borneo_drained_swamp,209.11,0.012937088,
Y165,Borneo_swamp_forest,25.82,0.007116556,
Y166,Borneo_swamp_forest,71.07,0.008499296,
Y167,Borneo_swamp_forest,1.22,0.006081271,
Y168,Borneo_swamp_forest,45.09,0.012502144,
Y169,Borneo_drained_swamp,113.17,0.012831572,
Y170,Borneo_swamp_forest,224.85,0.008607128,
Y171,Montana_bog_2,-0.14,0.003672081,
Y172,Montana_bog_2,-0.47,0,
Y173,Montana_bog_2,0.00,0.00341767,
Y174,Montana_Bog_1,-1.71,0,
Y175,Montana_Bog_1,-0.61,0,
Y176,Montana_Bog_1,-0.44,0,
Y177,Taiwan_recreation,-1.07,0.001822392,
Y178,Taiwan_recreation,-1.07,0.001614694,
Y179,Taiwan_fen,-0.99,0.006703865,
Y180,Taiwan_fen,-0.99,0.002385904,
Y181,Finland_fen,-0.03,0,
Y182,Finland_fen,-0.45,0,
