X,Archaea_unknown,Aenigmarchaeota,Altiarchaeota,Asgardarchaeota,Thaumarchaeota,Euryarchaeota,Hadarchaeota,Halobacterota,Hydrothermarchaeota,Iainarchaeota,Micrarchaeota,Nanoarchaeota,Thermoplasmatota,10bav-F6,Bacteria_unknown,Abditibacteriota,Acetothermia,Acidobacteriota,Actinobacteriota,AncK6,Armatimonadota,BHI80-139,Bacteroidota,Bdellovibrionota,CK-2C2-2,Caldatribacteriota,Caldisericota,Calditrichota,Campilobacterota,Chloroflexi,Chrysiogenetota,Cloacimonadota,Cyanobacteria,DTB120,Dadabacteria,Deferribacterota,Deferrisomatota,Deinococcota,Dependentiae,Desantisbacteria,Desulfobacterota,Edwardsbacteria,Elusimicrobiota,Entotheonellaeota,FCPU426,FW113,Fermentibacterota,Fibrobacterota,Firestonebacteria,Firmicutes,Fusobacteriota,GAL15,GN01,Gemmatimonadota,Halanaerobiaeota,Hydrogenedentes,Hydrothermae,LCP-89,Latescibacterota,MAT-CR-M4-B07,MBNT15,Margulisbacteria,Marinimicrobia_(SAR406_clade),Methylomirabilota,Modulibacteria,Myxococcota,NB1-j,NKB15,Nitrospinota,Nitrospirota,PAUC34f,Patescibacteria,Planctomycetota,Poribacteria,Proteobacteria,RCP2-54,SAR324_clade(Marine_group_B),Schekmanbacteria,Spirochaetota,Sumerlaeota,Sva0485,Synergistota,TA06,TX1A-33,Thermodesulfobiota,Verrucomicrobiota,WOR-1,WPS-2,WS1,WS2,WS4,Zixibacteria
Bashkortostan_drained_fen,17.16666667,1.666666667,0.166666667,0,351.8333333,0.5,0,1.5,0,0,0.333333333,28.83333333,14.33333333,0,114.1666667,0.166666667,0.333333333,3039.5,2733.166667,0,76.5,0,3168.666667,125.5,0,25.66666667,0.166666667,1.166666667,2.166666667,2943.833333,0,0.166666667,37.5,0.333333333,7.333333333,0,0.333333333,0,66,0.166666667,479,0,71.5,39.83333333,1.666666667,0.5,0,37.5,0.166666667,383.8333333,0,1.5,0.833333333,1260.166667,0,20,0,1.166666667,452.5,0,262.1666667,0.666666667,0,308,0,2065.166667,141.8333333,0,1.333333333,334.3333333,1.166666667,152.3333333,1170.833333,0,7731.5,104.8333333,7.833333333,0.166666667,53.5,16.33333333,104.5,0.166666667,4,0.333333333,0,864.5,0.333333333,3.333333333,1.166666667,19.5,0.5,32.16666667
Bashkortostan_drained_floodplain_1,0,0.444444444,0.555555556,0,289.4444444,130.6666667,0,210.4444444,0,0,0.333333333,8.333333333,28,0,126.8888889,3.777777778,0,7131.333333,4257.888889,0,197.1111111,0,2798.444444,143.3333333,0,0.666666667,0,0,2.111111111,3765.111111,0,0.888888889,199.3333333,0,0,0,0.555555556,0.111111111,95,0,396.3333333,0,203.4444444,0.111111111,4.444444444,0.111111111,0,24.11111111,0.222222222,697.1111111,0.111111111,0,0,1485.222222,0.111111111,3.888888889,0,0.111111111,266.3333333,0,65.55555556,0,0,199.4444444,0,2103.444444,43.11111111,0,0.444444444,240.3333333,0,193.2222222,2478.444444,0.111111111,11520,106.2222222,22.22222222,0,35.77777778,19.88888889,16,0.111111111,0.111111111,0,0,2980.777778,0.222222222,47,1.333333333,9.222222222,1.333333333,3.777777778
Bashkortostan_drained_floodplain_2,0.777777778,0.666666667,1.666666667,0.222222222,455.8888889,153.1111111,1.111111111,159.4444444,0,0.222222222,0.222222222,131.4444444,70.22222222,0,109.2222222,2,0,3210.666667,3167.111111,0,71.11111111,0,3787.333333,176.3333333,0,0.222222222,0.222222222,0,20.66666667,3550.444444,0,4,115.1111111,0,0,0,0.222222222,0,99.88888889,0,1603.111111,0.111111111,56.44444444,0,14.11111111,0.111111111,0,30.22222222,0,825.8888889,0.222222222,0,0.555555556,1067.777778,0.666666667,9.555555556,0,2.333333333,47.66666667,0,21,0.666666667,20,33.44444444,0.444444444,668.7777778,0.333333333,0,0.222222222,308.6666667,0,697.7777778,567.2222222,0,9061.555556,109.3333333,25.33333333,0.333333333,66.88888889,12.88888889,359.2222222,0.111111111,1.444444444,0,0,1028.666667,0.222222222,207.2222222,2.111111111,1.111111111,2.444444444,12.88888889
Bashkortostan_fen,7.666666667,4.444444444,0,2.333333333,160.1111111,3.666666667,0.222222222,1.111111111,0,0.222222222,34.33333333,179.1111111,203.1111111,0,147,0.222222222,0,1395,1414.333333,0,101.6666667,0,7413.555556,193.7777778,1.333333333,21.66666667,6.111111111,15.11111111,1819.666667,5162.111111,0,10.66666667,99,0,0,0,0,0,106.7777778,0.111111111,2961.555556,0,52.22222222,3.111111111,26.66666667,1.222222222,12.33333333,95.11111111,0.444444444,935.3333333,25.33333333,0,3.333333333,340.7777778,0,29.11111111,0,76.44444444,232.6666667,0,53.44444444,1.888888889,0.333333333,6.888888889,14.11111111,889.1111111,131.8888889,0,0.222222222,267.6666667,1.666666667,855.5555556,1920,2.777777778,10416.22222,6.111111111,19.66666667,0.222222222,470.6666667,21.33333333,117.6666667,0.333333333,48,0,0,860.3333333,19.77777778,5.666666667,29.33333333,14.22222222,1.111111111,161.2222222
Borneo_drained_swamp,27.52941176,0.117647059,0,0,4501.235294,0,0,2.294117647,0,0,15.64705882,0.529411765,4729.529412,0,79,0.352941176,0,11579.58824,3105.588235,0,511.9411765,0,246.8235294,206.4705882,0,1.411764706,0,0.058823529,0,99.17647059,0,0.058823529,489.2941176,0,0,0,0,0,116.0588235,0,3.529411765,0,98.76470588,0,277.1764706,0,0,0,0,99.35294118,0.117647059,93.58823529,0,25.41176471,0,0.176470588,0,0,0.294117647,0,0.294117647,0,1.882352941,0.235294118,0,291.5294118,0.176470588,0,1.411764706,0.764705882,0,18.11764706,2923.529412,0,15536.23529,1196.470588,2.529411765,0,25.29411765,0.117647059,0.294117647,0,0.058823529,0,0,1804.647059,0,3486.764706,0,0,0,0
Borneo_swamp_forest,3.611111111,0.055555556,0,0,2796.166667,0.222222222,0,0.833333333,0,0,9.222222222,2.166666667,2759.722222,0,221.3333333,0.333333333,0,10476.55556,1883.166667,0,95.66666667,0,439.3333333,129.8888889,0,0.888888889,0,0,0.111111111,90.5,0,0.055555556,138.2222222,0,0,0,0,0,113.6666667,0,8.5,0,51.5,0.111111111,84.72222222,0,0,1.388888889,0,379.5,0.055555556,73.05555556,0,136.7222222,0,0.111111111,0,0,0.611111111,0,7.444444444,0,0,13.61111111,0,582.8888889,0.666666667,0,0.944444444,3.166666667,0,25,2915.722222,0,12525.55556,1187.388889,33.05555556,0,109.5,0.333333333,0.666666667,0,0,0,0,2003.777778,0,1481.833333,0.055555556,0.5,0,0.111111111
Brazil_drained_floodplain,16.77777778,12,12.22222222,4.888888889,1382.333333,67.22222222,1.222222222,174.4444444,0,0.111111111,11.66666667,152.6666667,19.22222222,0,1375,3,6,7213.222222,1758,2,86.33333333,0,3151,136.4444444,0.333333333,0,0,41,10.88888889,10072.11111,0,0,167.7777778,0,260.6666667,0,9.444444444,0.111111111,150.5555556,0,5388.111111,0.222222222,93.88888889,297.6666667,22.11111111,0.222222222,0,76.55555556,0.111111111,1261,2.777777778,8.888888889,0.222222222,702.8888889,0,18.11111111,0,1.111111111,1206.555556,0,1091.666667,1.111111111,0.111111111,3395.888889,2,3230.666667,2061.777778,0,0.222222222,1251.777778,2.777777778,263.8888889,5030.666667,2,18794.88889,200,33.33333333,0,382.1111111,38.33333333,2168.444444,0,3.888888889,0,0,1958.333333,5.666666667,6.777777778,5,6.888888889,1.666666667,147.6666667
Brazil_floodplain,41.44444444,16.88888889,4.666666667,19,1848.666667,151.5555556,0.333333333,102.1111111,0,1.777777778,8.444444444,578.2222222,23.44444444,0.111111111,978.3333333,2.777777778,29.77777778,4929.555556,5375.777778,0.222222222,64.66666667,0,4680.666667,124.7777778,0.666666667,0.888888889,0,697.7777778,247.1111111,11920.11111,0,0.444444444,68.22222222,0.111111111,626.6666667,0,57.77777778,0,240.1111111,0.111111111,10459.66667,0,46,567.6666667,9.777777778,2.777777778,0.111111111,76.88888889,0,2088.777778,27.33333333,1.777777778,0,1608.666667,0.111111111,33.88888889,0,10,1570.777778,0,2390.666667,0.555555556,4.111111111,2403,6,3143,2576.222222,1.555555556,10,3042.222222,5.222222222,545.5555556,5941.666667,2.111111111,23095.33333,148.5555556,43.66666667,0.444444444,467.6666667,81.66666667,674.1111111,0,0.111111111,0,0,1632.666667,35.33333333,6.777777778,9.444444444,9.888888889,1.444444444,235.3333333
Catalonia_transitional_bog,0.555555556,0,0,0,9.555555556,0.555555556,0,3.222222222,0,0,0.555555556,19.77777778,1.555555556,0,70.44444444,2.555555556,0.111111111,4601.888889,1806.888889,0,159.5555556,0,1642.666667,176.4444444,0,0.666666667,0,0,0.555555556,887.1111111,0,0,149.8888889,0,0,0,0,0,55.33333333,0,252.8888889,0,93.55555556,1.111111111,35.88888889,0,0,26.44444444,1.777777778,223.4444444,0.333333333,0,0,121.7777778,0,1.555555556,0,0,66.55555556,0,50.44444444,0.222222222,0.111111111,102.8888889,0,1297.666667,45.66666667,0,0.111111111,62.11111111,0,168.8888889,3092.333333,0,8752.555556,49,15.33333333,0,29.55555556,10.44444444,2.666666667,0,0.222222222,0,0,2886.333333,0.111111111,130.4444444,0,0.555555556,0.444444444,8.777777778
Colombia_drained_paramo,13.66666667,18.44444444,14.77777778,19.55555556,729.2222222,71.44444444,1.444444444,572.3333333,0,0.555555556,96.77777778,490.2222222,269,0,469.6666667,0.444444444,10.22222222,16354.88889,1206.666667,0.222222222,233.2222222,0,7043.888889,423.8888889,1.444444444,4,4.222222222,1.333333333,0.111111111,9347.888889,0,1,102.4444444,0,1.888888889,0,0.333333333,0.111111111,333.3333333,0.333333333,5950.777778,0.222222222,254.8888889,0.777777778,86.44444444,0,0,386.3333333,6,2706,1.111111111,1.222222222,2.666666667,210.1111111,0,25.33333333,0,4.555555556,156.5555556,0,434.1111111,18.55555556,3.111111111,618.5555556,0.111111111,2772.111111,410.2222222,0,1.888888889,2355.777778,0,1001.555556,7616.777778,0,15679.77778,285.6666667,109.4444444,0,2030,76.33333333,850.8888889,0,2.777777778,0,0,5068.666667,37.88888889,77.77777778,11.44444444,2.777777778,10.11111111,171.6666667
