Y,N2O
Bashkortostan_drained_fen,1.267289089
Bashkortostan_drained_floodplain_1,1.467953234
Bashkortostan_drained_floodplain_2,2.190583796
Bashkortostan_fen,1.174834815
Borneo_drained_swamp,2.43336441
Borneo_swamp_forest,1.947482737
Brazil_drained_floodplain,1.455656815
Brazil_floodplain,1.290034611
Catalonia_transitional_bog,1.328379603
Colombia_drained_paramo,1.15896526
Colombia_paramo,1.180794682
Estonia_drained_floodplain,1.953034457
Estonia_floodplain,1.393224116
Finland_drained_fen,1.151625182
Finland_fen,1.167415803
Florida_restored_wetland_dry,1.372543801
Florida_restored_wetland_wet,1.503518313
Florida_swamp_forest_1,1.497793229
Florida_swamp_forest_2,1.201874859
Florida_tomato_field,1.305351369
France_transitional_bog_1,1.186391216
France_transitional_bog_2,1.172018809
French_Pyrenees_fen,1.630020851
Iceland_drained_fen,1.166504118
Iceland_drained_fen_2,1.154423973
Iceland_fen_1,1.173259131
Khabarovsk_drained_fen,1.176091259
Khabarovsk_fen,1.176091259
Kyrgyzstan_drained_fen,1.192567453
Kyrgyzstan_fen_1,1.167021796
Kyrgyzstan_fen_2,1.17868924
Mexico_chinampa_1,1.585986828
Mexico_chinampa_2,1.730001243
Mexico_fen,1.279742969
Montana_Bog_1,1.148602655
Montana_bog_2,1.17016389
Morocco_bog_1,1.113274692
Morocco_bog_2,1.178593295
Myanmar_drained_fen_1,2.169953492
Myanmar_drained_fen_2,1.775853071
Myanmar_fen,1.279324665
New_Zealand_drained_fen_1,1.952259537
New_Zealand_drained_fen_2,1.316932815
New_Zealand_fen_1,1.204662512
New_Zealand_fen_2,1.253459164
Pantanal_pasture_1,1.168644777
Pantanal_pasture_2,1.170555059
Pantanal_pasture_3,1.771587481
Pantanal_swamp_forest,1.169821329
Quebec_drained_bog,1.895477796
Quebec_transitional_bog,1.174031766
Romania_bog_1,1.177728836
Romania_bog_2,1.176669933
Romania_bog_forest_1,1.18591972
Romania_bog_forest_2,1.267953537
Siberia_bog,1.168006144
Siberia_bog_forest,1.167391188
Siberia_fen,1.178976947
Taiwan_fen,1.146438135
Taiwan_recreation,1.143951116
Tasmania_blanket_bog,1.178976947
Tasmania_drained_fen_1,1.367542274
Tasmania_drained_fen_2,1.406199424
Tasmania_fen,1.203576775
Tasmania_raised_bog,1.170750511
Tierra_del_Fuego_bog,1.217167979
Tierra_del_Fuego_fen,1.176091259
Uganda_drained_fen_1,2.680548528
Uganda_drained_fen_2,2.331751125
Uganda_fen,1.466645228
Uganda_rice_paddy,2.754124632
Wales_blanket_bog,1.176091259
Wales_drained_bog,1.176091259
Wales_fen,1.176091259
