,N2O,Latitude,pH,VPG,OrM,Water_content,NO3,NH4,C/N,Water_table,MAT,MAP,nirK,nirS,nosZI,nosZII,Bacterial_amoA,Archaeal_amoA,,,,,
Bashkortostan_drained_fen,1.267289089,55.5476,6.755,5,0.29,0.350716667,0.875504982,-0.595166283,1.107239602,2.106077519,4.2,2.675778342,9.36,7.785,7.94,8.725,6.335,7.955,,,,,
Bashkortostan_drained_floodplain_1,1.467953234,55.4491,4.456666667,5,0.342222222,0.208544444,1.108437227,1.502058223,NA,1.698970004,4.3,2.699837726,9.43,7.706666667,7.943333333,8.866666667,8.53,7.153333333,,,,,
Bashkortostan_drained_floodplain_2,2.190583796,55.4337,3.821111111,5,0.29,0.417777778,1.006513581,1.060109991,1.060609182,1.698970004,4.3,2.691081492,9.593333333,7.19,7.403333333,7.88,7.413333333,6.193333333,,,,,
Bashkortostan_fen,1.174834815,55.4804,6.142222222,1,0.506666667,0.93,0.077973194,1.663962533,1.245110626,2.297395711,4.1,2.723455672,9.646666667,8.39,8.026666667,8.866666667,6.486666667,5.683333333,,,,,
Borneo_drained_swamp,2.43336441,5.322965,2.168333333,4.75,0.784166667,0.384166667,1.1532049,1.692766161,1.462487617,2.155336037,27.14166667,3.522824455,8.5625,1,7.4075,6.78,1,7.8175,,,,,
Borneo_swamp_forest,1.947482737,5.3223,2.303333334,5,0.793333334,0.61,1.503302565,1.661039287,1.355671711,2.158362492,27.1,3.536558443,9.3475,5.9825,7.6625,7.3225,1,8.1125,,,,,
Brazil_drained_floodplain,1.455656815,28.5523,5.902222222,4,0.368333333,0.78625,0.746616903,1.195369139,1.035037824,2.269512944,21.3,3.147676324,10.13333333,9.516666667,8.363333333,9.053333333,6.366666667,8.043333333,,,,,
Brazil_floodplain,1.290034611,28.5527,6.317777778,1,0.221111111,0.906468889,0.526339277,1.045444686,1.041512299,2.315503864,21.3,3.147676324,10.08666667,9.66,8.16,8.823333333,5.3,8.66,,,,,
California_drained_fen,1.928651847,38.0169,5.736666667,3,0.27,0.962606483,0.596083702,0.781108836,1.204051756,2.28780173,16.7,2.572871602,9.41,8,8.12,8.8,8.05,7.68,,,,,
California_fen,1.189490314,38.0169,5.356666667,3,0.266666667,0.423333333,-0.32330639,0.700991998,1.148265557,2.283301229,16.7,2.572871602,8.98,9.72,8.63,8.2,4.67,7.74,,,,,
Catalonia_transitional_bog,1.328379603,42.6282,4.182222222,4,0.644444444,0.736666667,1.122434336,1.144954546,1.337768714,2.065704172,5.4,2.944482672,9.2,7.753333333,8.24,8.03,4.343333333,3.66,,,,,
Colombia_drained_paramo,1.15896526,6.643138,3.941111111,4.888888889,0.725555556,0.747777778,0,1.184186511,1.118449983,2.252853031,11.1,3.369030222,10.4,8.366666667,9.303333333,7.796666667,6.036666667,7.226666667,,,,,
Colombia_paramo,1.180794682,6.6699,3.455555555,1,0.456666667,0.803333333,0,1.798005745,1.355986443,2.274927193,9.5,3.398113692,10.13333333,7.913333333,8.946666667,7.613333333,5.69,5.753333333,,,,,
Estonia_drained_floodplain,1.953034457,58.4236,6.451111111,5,0.475555555,0.685555556,1.478101332,0.906454765,1.055024408,2.256343515,5.7,2.783903579,9.863333333,9.02,8.28,8.166666667,7.48,8.006666667,,,,,
Estonia_floodplain,1.393224116,58.4142,5.18,4.777777778,0.93,0.74,0.788089773,-1.238239167,1.339573576,2.224158832,5.7,2.790988475,9.816666667,8.94,8.89,9.05,7.183333333,7.806666667,,,,,
Finland_drained_fen,1.151625182,67.99785,3.37,1,0.833333333,0.672933283,-0.68043131,1.572138127,1.660995816,2.279134394,0.1,2.633468456,10.31333333,4.585,7.041666667,7.795,6.466666667,4.891666667,,,,,
Finland_fen,1.167415803,67.997264,3.853333333,1,0.836666667,0.73502758,-2.102984155,1.691128663,1.284584897,2.301029996,0.1,2.633468456,9.546666667,6.933333333,7.303333333,3.256666667,5.283333333,4.16,,,,,
Florida_restored_wetland_dry,1.372543801,26.46488,7.13,10,0.076666667,0.23,0.875022658,-0.074000734,0.098286542,1.903089987,23.3,3.116275588,8.07,6.75,1,7.66,5.31,6.62,,,,,
Florida_restored_wetland_wet,1.503518313,26.464938,5.673333333,10,0.063333333,0.86,-0.755310639,0.961310331,1.129596095,2.297760511,23.3,3.116275588,7.67,7.05,6.66,7.35,3.7,5.84,,,,,
Florida_swamp_forest_1,1.497793229,26.38,5.403333333,4.666666667,0.659166667,0.625766667,1.861027837,0.56567076,1.183003339,2.102090526,23.3,3.116939647,9.785,9.25,8.4,8.82,4.555,7.8025,,,,,
Florida_swamp_forest_2,1.201874859,26.38,5.426666667,3.5,0.394166667,0.719875,0.765364268,-1.697164205,1.191459645,2.352825441,23.3,3.116939647,9.6975,9.1375,8.495,8.94,6.46,7.945,,,,,
Florida_tomato_field,1.305351369,26.3793,5.553333333,10,0.143333333,0.19,0.904661458,0.111262514,0.134698574,1.903089987,23.3,3.122215878,9.22,8.14,8.14,7.51,5.99,7.4,,,,,
France_transitional_bog_1,1.186391216,47.32,3.226666667,2,0.748333334,0.848333334,0.565257343,1.275119316,1.393282651,2.302114377,11.6,2.859138297,9.32,4.125,7.28,8.37,5.2,6.615,,,,,
France_transitional_bog_2,1.172018809,47.32,3.328333334,2,0.681666667,0.893333334,-0.985759562,1.552262523,1.319829116,2.261857386,11.6,2.859138297,9.46,7.57,8.1,8.77,6.635,6.945,,,,,
French_Pyrenees_fen,1.630020851,42.8032,4.646666667,3,0.723333333,0.91,0.484442208,1.47420169,1.197058128,2.263241435,6.8,3.058426024,11.1,8.79,7.41,8.7,7.99,1,,,,,
Iceland_drained_fen,1.166504118,64.8332,3.96,1.571428571,0.5,0.83,0.094920115,1.331427297,1.221059444,2.187117663,4.5,3.037824751,7.244285714,5.434285714,6.311428571,3.86,3.582857143,1.75,,,,,
Iceland_drained_fen_2,1.154423973,64.28728,NA,NA,0.21,0.8,-1.677780705,0.884682104,1.133350014,2.176091259,4.4,3.16790781,8.94,7.45,7.63,8.91,5.01,5.465,,,,,
Iceland_fen_1,1.173259131,64.34564,NA,10,0.38,0.8975,-0.483464626,0.537378283,1.244509145,2.2955671,3.6,3.139564266,9.5225,8.4,7.6925,7.95,5.305,4.86,,,,,
Khabarovsk_drained_fen,1.176091259,48.49355,3.78,10,0.166666667,0.440633333,-0.248207848,-0.41945515,1.118834567,2,2.2,2.829946696,10.1,7.74,8.27,7.36,6.65,7.53,,,,,
Khabarovsk_fen,1.176091259,48.497288,3.861694444,4.021978022,0.45881062,0.771342662,0.905853872,1.405965282,1.387537155,2.252339066,2.2,2.828015064,8.61,7.32,8.13,1,7.78,5.45,,,,,
Kyrgyzstan_drained_fen,1.192567453,41.7612,7.095,5,0.376666667,0.745,-0.060480747,0.633131663,1.200578609,2.135132651,-1.1,2.492760389,10.3,8.925,8.49,7.415,6.72,6.35,,,,,
Kyrgyzstan_fen_1,1.167021796,41.9442,5.926666667,4,0.585,0.935,-0.933053209,0.563876438,1.390474766,2.286680969,-0.9,2.445604203,9.945,8.66,7.46,7.8,5.1,2.91,,,,,
Kyrgyzstan_fen_2,1.17868924,41.894,6.333333333,1.833333334,0.615,0.921666667,-0.429846388,1.078154616,1.401617702,2.2955671,-2.1,2.664641976,10.055,8.88,7.63,7.845,5.63,3.26,,,,,
Mexico_chinampa_1,1.585986828,19.29,7.068888889,NA,0.092222222,0.445098444,2.192288303,0.556824948,1.152183405,1.637934248,16.7,2.875639937,9.213333333,8,7.183333333,8.39,7.123333333,7.826666667,,,,,
Mexico_chinampa_2,1.730001243,19.29,7.498888889,5,0.147777778,0.620784044,1.966712071,0.56014584,1.133698731,1.698970004,16.7,2.875639937,9.143333333,8.383333333,7.5,7.95,7.996666667,8.066666667,,,,,
Mexico_fen,1.279742969,19.2862,7.141111111,1,0.248888889,0.842500244,0.404339487,1.173276939,1.038339592,2.284054558,16.7,2.875061263,9.926666667,9.353333333,8.373333333,8.893333333,7.256666667,7.31,,,,,
Montana_Bog_1,1.148602655,45.524884,4.782222222,NA,0.661111111,0.734677778,-0.773256928,1.549873432,1.475293532,2.09806659,4.1,2.627365857,10.2,7.883333333,8.46,7.693333333,4.136666667,3.606666667,,,,,
Montana_bog_2,1.17016389,45.582581,6.243333333,NA,0.616666667,0.567922222,0.67105965,0.609404668,1.327667932,2.104373288,6.8,2.450249108,10.3,9.19,8.02,8.643333333,6.796666667,7.216666667,,,,,
Morocco_bog_1,1.113274692,35.2703,4.256666667,NA,0.09,0.8432629,-1.657577319,0.895017163,1.338098776,2.276461804,17.9,2.851258349,9.07,6.58,7.02,7.8,5.42,6.42,,,,,
Morocco_bog_2,1.178593295,35.1866,3.794444444,NA,0.177222222,0.889678656,-1.756961951,1.05940352,1.179317836,2.301029996,15.1,2.897077003,9.69,7.51,7.786666667,8.316666667,4.78,7.613333333,,,,,
Myanmar_drained_fen_1,2.169953492,20.64389675,7.240833334,5,0.331666667,0.695,1.519499853,0.409228443,1.180654609,2.235528447,22.9,3.01745073,8.985,8.4475,7.87,8.53,6.7825,7.4125,,,,,
Myanmar_drained_fen_2,1.775853071,20.63281033,6.424444444,4.333333333,0.424444444,0.853333333,1.325333187,1.156515499,1.171787903,2.22444673,22.9,3.039810554,9.84,8.92,8.503333333,9.22,7.063333333,8.376666667,,,,,
Myanmar_fen,1.279324665,20.6238465,6.763333334,1,0.586666667,0.853333334,0.461648568,1.539598778,1.176489325,2.293362555,22.9,3.051731196,10.25,9.595,8.86,9.64,7.12,8.45,,,,,
